TimeSlice	Time	LH_AdductorLongus
0	0	-0.15
3	0.00054	-0.06
6	0.00108	-0.06
9	0.00162	-0.06
12	0.00216	-0.06
15	0.0027	-0.06
18	0.00324	-0.06
21	0.00378	-0.06
24	0.00432	-0.06
27	0.00486	-0.06
30	0.0054	-0.06
33	0.00594	-0.06
36	0.00648	-0.06
39	0.00702	-0.06
42	0.00756	-0.06
45	0.0081	-0.06
48	0.00864	-0.06
51	0.00918	-0.06
54	0.00972	-0.06
57	0.01026	-0.06
60	0.0108	-0.06
63	0.01134	-0.06
66	0.01188	-0.06
69	0.01242	-0.06
72	0.01296	-0.06
75	0.0135	-0.06
78	0.01404	-0.06
81	0.01458	-0.06
84	0.01512	-0.06
87	0.01566	-0.06
90	0.0162	-0.06
93	0.01674	-0.06
96	0.01728	-0.06
99	0.01782	-0.06
102	0.01836	-0.06
105	0.0189	-0.06
108	0.01944	-0.06
111	0.01998	-0.06
114	0.02052	-0.06
117	0.02106	-0.06
120	0.0216	-0.06
123	0.02214	-0.06
126	0.02268	-0.06
129	0.02322	-0.06
132	0.02376	-0.06
135	0.0243	-0.06
138	0.02484	-0.06
141	0.02538	-0.06
144	0.02592	-0.06
147	0.02646	-0.06
150	0.027	-0.06
153	0.02754	-0.06
156	0.02808	-0.06
159	0.02862	-0.06
162	0.02916	-0.06
165	0.0297	-0.06
168	0.03024	-0.06
171	0.03078	-0.06
174	0.03132	-0.06
177	0.03186	-0.06
180	0.0324	-0.06
183	0.03294	-0.06
186	0.03348	-0.06
189	0.03402	-0.06
192	0.03456	-0.06
195	0.0351	-0.06
198	0.03564	-0.06
201	0.03618	-0.06
204	0.03672	-0.06
207	0.03726	-0.06
210	0.0378	-0.06
213	0.03834	-0.06
216	0.03888	-0.06
219	0.03942	-0.06
222	0.03996	-0.06
225	0.0405	-0.06
228	0.04104	-0.06
231	0.04158	-0.06
234	0.04212	-0.06
237	0.04266	-0.06
240	0.0432	-0.06
243	0.04374	-0.06
246	0.04428	-0.06
249	0.04482	-0.06
252	0.04536	-0.06
255	0.0459	-0.06
258	0.04644	-0.06
261	0.04698	-0.06
264	0.04752	-0.06
267	0.04806	-0.06
270	0.0486	-0.06
273	0.04914	-0.06
276	0.04968	-0.06
279	0.05022	-0.06
282	0.05076	-0.06
285	0.0513	-0.06
288	0.05184	-0.06
291	0.05238	-0.06
294	0.05292	-0.06
297	0.05346	-0.06
300	0.054	-0.06
303	0.05454	-0.06
306	0.05508	-0.06
309	0.05562	-0.06
312	0.05616	-0.06
315	0.0567	-0.06
318	0.05724	-0.06
321	0.05778	-0.06
324	0.05832	-0.06
327	0.05886	-0.06
330	0.0594	-0.06
333	0.05994	-0.06
336	0.06048	-0.06
339	0.06102	-0.06
342	0.06156	-0.06
345	0.0621	-0.06
348	0.06264	-0.06
351	0.06318	-0.06
354	0.06372	-0.06
357	0.06426	-0.06
360	0.0648	-0.06
363	0.06534	-0.06
366	0.06588	-0.06
369	0.06642	-0.06
372	0.06696	-0.06
375	0.0675	-0.06
378	0.06804	-0.06
381	0.06858	-0.06
384	0.06912	-0.06
387	0.06966	-0.06
390	0.0702	-0.06
393	0.07074	-0.06
396	0.07128	-0.06
399	0.07182	-0.06
402	0.07236	-0.06
405	0.0729	-0.06
408	0.07344	-0.06
411	0.07398	-0.06
414	0.07452	-0.06
417	0.07506	-0.06
420	0.0756	-0.06
423	0.07614	-0.06
426	0.07668	-0.06
429	0.07722	-0.06
432	0.07776	-0.06
435	0.0783	-0.06
438	0.07884	-0.06
441	0.07938	-0.06
444	0.07992	-0.06
447	0.08046	-0.06
450	0.081	-0.06
453	0.08154	-0.06
456	0.08208	-0.06
459	0.08262	-0.06
462	0.08316	-0.06
465	0.0837	-0.06
468	0.08424	-0.06
471	0.08478	-0.06
474	0.08532	-0.06
477	0.08586	-0.06
480	0.0864	-0.06
483	0.08694	-0.06
486	0.08748	-0.06
489	0.08802	-0.06
492	0.08856	-0.06
495	0.0891	-0.06
498	0.08964	-0.06
501	0.09018	-0.06
504	0.09072	-0.06
507	0.09126	-0.06
510	0.0918	-0.06
513	0.09234	-0.06
516	0.09288	-0.06
519	0.09342	-0.06
522	0.09396	-0.06
525	0.0945	-0.06
528	0.09504	-0.06
531	0.09558	-0.06
534	0.09612	-0.06
537	0.09666	-0.06
540	0.0972	-0.06
543	0.09774	-0.06
546	0.09828	-0.06
549	0.09882	-0.06
552	0.09936	-0.06
555	0.0999	-0.06
558	0.10044	-0.06
561	0.10098	-0.06
564	0.10152	-0.06
567	0.10206	-0.06
570	0.1026	-0.06
573	0.10314	-0.06
576	0.10368	-0.06
579	0.10422	-0.06
582	0.10476	-0.06
585	0.1053	-0.06
588	0.10584	-0.06
591	0.10638	-0.06
594	0.10692	-0.06
597	0.10746	-0.06
600	0.108	-0.06
603	0.10854	-0.06
606	0.10908	-0.06
609	0.10962	-0.06
612	0.11016	-0.06
615	0.1107	-0.06
618	0.11124	-0.06
621	0.11178	-0.06
624	0.11232	-0.06
627	0.11286	-0.06
630	0.1134	-0.06
633	0.11394	-0.06
636	0.11448	-0.06
639	0.11502	-0.06
642	0.11556	-0.06
645	0.1161	-0.06
648	0.11664	-0.06
651	0.11718	-0.06
654	0.11772	-0.06
657	0.11826	-0.06
660	0.1188	-0.06
663	0.11934	-0.06
666	0.11988	-0.06
669	0.12042	-0.06
672	0.12096	-0.06
675	0.1215	-0.06
678	0.12204	-0.06
681	0.12258	-0.06
684	0.12312	-0.06
687	0.12366	-0.06
690	0.1242	-0.06
693	0.12474	-0.06
696	0.12528	-0.06
699	0.12582	-0.06
702	0.12636	-0.06
705	0.1269	-0.06
708	0.12744	-0.06
711	0.12798	-0.06
714	0.12852	-0.06
717	0.12906	-0.06
720	0.1296	-0.06
723	0.13014	-0.06
726	0.13068	-0.06
729	0.13122	-0.06
732	0.13176	-0.06
735	0.1323	-0.06
738	0.13284	-0.06
741	0.13338	-0.06
744	0.13392	-0.06
747	0.13446	-0.06
750	0.135	-0.06
753	0.13554	-0.06
756	0.13608	-0.06
759	0.13662	-0.06
762	0.13716	-0.06
765	0.1377	-0.06
