TimeSlice	Time	LH_BicepsFemorisPosterior	BFP
0	0	0	-0.06
1	0.00018	0	-0.06
2	0.00036	3.1016e-028	-0.06
3	0.00054	3.1016e-028	-0.06
4	0.00072	3.1016e-028	-0.06
5	0.0009	0.0225415	-0.06
6	0.00108	0.0225415	-0.06
7	0.00126	0.0225415	-0.06
8	0.00144	0.0225415	-0.06
9	0.00162	0.0225415	-0.06
10	0.0018	0.0225415	-0.06
11	0.00198	0.0225415	-0.06
12	0.00216	0.0225415	-0.06
13	0.00234	0.0225415	-0.06
14	0.00252	0.0225415	-0.06
15	0.0027	0.0225415	-0.06
16	0.00288	0.0225415	-0.06
17	0.00306	0.0225415	-0.06
18	0.00324	0.0225415	-0.06
19	0.00342	0.0225415	-0.06
20	0.0036	0.0225415	-0.06
21	0.00378	0.0225415	-0.06
22	0.00396	0.0225415	-0.06
23	0.00414	0.0225415	-0.06
24	0.00432	0.0225415	-0.06
25	0.0045	0.0225415	-0.06
26	0.00468	0.0225415	-0.06
27	0.00486	0.0225415	-0.06
28	0.00504	0.0225415	-0.06
29	0.00522	0.0225415	-0.06
30	0.0054	0.0225415	-0.06
31	0.00558	0.0225415	-0.06
32	0.00576	0.0225415	-0.06
33	0.00594	0.0225415	-0.06
34	0.00612	0.0225415	-0.06
35	0.0063	0.0225415	-0.06
36	0.00648	0.0225415	-0.06
37	0.00666	0.0225415	-0.06
38	0.00684	0.0225415	-0.06
39	0.00702	0.0225415	-0.06
40	0.0072	0.0225415	-0.06
41	0.00738	0.0225415	-0.06
42	0.00756	0.0225415	-0.06
43	0.00774	0.0225415	-0.06
44	0.00792	0.0225415	-0.06
45	0.0081	0.0225415	-0.06
46	0.00828	0.0225415	-0.06
47	0.00846	0.0225415	-0.06
48	0.00864	0.0225415	-0.06
49	0.00882	0.0225415	-0.06
50	0.009	0.0225415	-0.06
51	0.00918	0.0225415	-0.06
52	0.00936	0.0225415	-0.06
53	0.00954	0.0225415	-0.06
54	0.00972	0.0225415	-0.06
55	0.0099	0.0225415	-0.06
56	0.01008	0.0225415	-0.06
57	0.01026	0.0225415	-0.06
58	0.01044	0.0225415	-0.06
59	0.01062	0.0225415	-0.06
