TimeSlice	Time	LH_Knee	LH_AnkleZ	LH_HipZ
0	0	0	0	0
3	0.00054	-2.6563e-018	8.14778e-017	8.29415e-017
6	0.00108	-0.00119392	-0.0175314	-0.0498431
9	0.00162	-0.00232935	-0.0341291	-0.0969893
12	0.00216	-0.0034097	-0.0498431	-0.141583
15	0.0027	-0.00443798	-0.0647213	-0.183762
18	0.00324	-0.00541705	-0.0788089	-0.223656
21	0.00378	-0.00634965	-0.0921487	-0.261389
24	0.00432	-0.00723834	-0.104781	-0.297078
27	0.00486	-0.00808556	-0.116744	-0.330833
30	0.0054	-0.00889361	-0.128075	-0.362758
33	0.00594	-0.00966468	-0.138807	-0.392953
36	0.00648	-0.0104008	-0.148972	-0.42151
39	0.00702	-0.011104	-0.158602	-0.448518
42	0.00756	-0.011776	-0.167726	-0.474061
45	0.0081	-0.0124186	-0.176371	-0.498218
48	0.00864	-0.0130335	-0.184562	-0.521063
51	0.00918	-0.0136222	-0.192325	-0.542668
54	0.00972	-0.0141862	-0.199682	-0.563099
57	0.01026	-0.0147268	-0.206656	-0.58242
60	0.0108	-0.0152455	-0.213267	-0.600691
63	0.01134	-0.0157435	-0.219536	-0.617968
66	0.01188	-0.0162219	-0.22548	-0.634305
69	0.01242	-0.0166818	-0.231117	-0.649753
72	0.01296	-0.0171244	-0.236464	-0.66436
75	0.0135	-0.0175506	-0.241537	-0.678171
78	0.01404	-0.0179613	-0.24635	-0.691229
81	0.01458	-0.0183575	-0.250918	-0.703576
84	0.01512	-0.01874	-0.255254	-0.715248
87	0.01566	-0.0191097	-0.259371	-0.726283
90	0.0162	-0.0194671	-0.26328	-0.736715
93	0.01674	-0.0198132	-0.266993	-0.746577
96	0.01728	-0.0201485	-0.27052	-0.7559
99	0.01782	-0.0204737	-0.273872	-0.764711
102	0.01836	-0.0207894	-0.277058	-0.77304
105	0.0189	-0.0210962	-0.280087	-0.780912
108	0.01944	-0.0213946	-0.282968	-0.788352
111	0.01998	-0.0216851	-0.285709	-0.795383
114	0.02052	-0.0219683	-0.288317	-0.802027
117	0.02106	-0.0222445	-0.290799	-0.808305
120	0.0216	-0.0225142	-0.293164	-0.814237
123	0.02214	-0.0227778	-0.295416	-0.819842
126	0.02268	-0.0230358	-0.297562	-0.825137
129	0.02322	-0.0232884	-0.299609	-0.830138
132	0.02376	-0.023536	-0.30156	-0.834863
135	0.0243	-0.0237789	-0.303423	-0.839325
138	0.02484	-0.0240176	-0.3052	-0.843539
141	0.02538	-0.0242521	-0.306898	-0.847518
144	0.02592	-0.0244829	-0.308521	-0.851275
147	0.02646	-0.0247102	-0.310072	-0.854822
150	0.027	-0.0249342	-0.311555	-0.85817
153	0.02754	-0.0251552	-0.312975	-0.86133
156	0.02808	-0.0253733	-0.314335	-0.864312
159	0.02862	-0.0255889	-0.315638	-0.867126
162	0.02916	-0.025802	-0.316887	-0.869781
165	0.0297	-0.026013	-0.318086	-0.872285
168	0.03024	-0.0262219	-0.319236	-0.874646
171	0.03078	-0.0264289	-0.320342	-0.876873
174	0.03132	-0.0266342	-0.321404	-0.878972
177	0.03186	-0.026838	-0.322427	-0.88095
180	0.0324	-0.0270403	-0.323411	-0.882814
183	0.03294	-0.0272413	-0.324359	-0.884571
186	0.03348	-0.0274412	-0.325273	-0.886225
189	0.03402	-0.02764	-0.326155	-0.887782
192	0.03456	-0.0278379	-0.327007	-0.889248
195	0.0351	-0.028035	-0.327831	-0.890627
198	0.03564	-0.0282313	-0.328627	-0.891924
201	0.03618	-0.028427	-0.329398	-0.893144
204	0.03672	-0.0286221	-0.330146	-0.89429
207	0.03726	-0.0288168	-0.33087	-0.895368
210	0.0378	-0.0290111	-0.331573	-0.896379
213	0.03834	-0.0292051	-0.332257	-0.897329
216	0.03888	-0.0293989	-0.332921	-0.898219
219	0.03942	-0.0295925	-0.333567	-0.899054
222	0.03996	-0.029786	-0.334197	-0.899837
225	0.0405	-0.0299795	-0.334811	-0.90057
228	0.04104	-0.030173	-0.33541	-0.901255
231	0.04158	-0.0303665	-0.335994	-0.901896
234	0.04212	-0.0305602	-0.336566	-0.902495
237	0.04266	-0.030754	-0.337125	-0.903054
240	0.0432	-0.030948	-0.337673	-0.903576
243	0.04374	-0.0311423	-0.33821	-0.904061
246	0.04428	-0.0313369	-0.338736	-0.904513
249	0.04482	-0.0315318	-0.339253	-0.904933
252	0.04536	-0.0317271	-0.33976	-0.905323
255	0.0459	-0.0319227	-0.340259	-0.905684
