Time	LH_RectusFemoris	LH_RectusFemoris	
0	0.04529282	0	
0.00054	0.04529282	0	
0.00108	0.04529282	0	
0.00162	0.04515162	-0.2614878	
0.00216	0.04501082	-0.2607427	
0.0027	0.04487506	-0.2514019	
0.00324	0.04474451	-0.2417575	
0.00378	0.04461914	-0.2321683	
0.00432	0.04449889	-0.2226965	
0.00486	0.04438365	-0.2134108	
0.0054	0.04427331	-0.2043184	
0.00594	0.04416777	-0.1954536	
0.00648	0.04406687	-0.186844	
0.00702	0.04397049	-0.1784897	
0.00756	0.04387847	-0.1704113	
0.0081	0.04379065	-0.1626227	
0.008640001	0.04370689	-0.1551169	
0.00918	0.04362701	-0.1479147	
0.00972	0.04355089	-0.1409746	
0.01026	0.04347834	-0.1343519	
0.0108	0.04340922	-0.1279913	
0.01134	0.04334338	-0.1219343	
0.01188	0.04328067	-0.1161187	
0.01242	0.04322096	-0.1105859	
0.01296	0.04316409	-0.1053084	
0.0135	0.04310994	-0.1002724	
0.01404	0.04305838	-0.0954778	
0.01458	0.04300929	-0.09091777	
0.01512	0.04296253	-0.0865854	
0.01566	0.04291801	-0.08245309	
0.0162	0.04287561	-0.07852083	
0.01674	0.04283522	-0.07479554	
0.01728	0.04279674	-0.07125652	
0.01782	0.04276008	-0.06788306	
0.01836	0.04272514	-0.06470277	
0.0189	0.04269185	-0.06164665	
0.01944	0.04266011	-0.0587768	
0.01998	0.04262986	-0.05601732	
0.02052	0.04260102	-0.05342342	
0.02106	0.04257349	-0.05097438	
0.0216	0.04254724	-0.04861503	
0.02214	0.04252219	-0.04638676	
0.02268	0.04249827	-0.04428956	
0.02322	0.04247545	-0.04226825	
0.02376	0.04245365	-0.04036421	
0.0243	0.04243284	-0.03854296	
0.02484	0.04241295	-0.03683208	
0.02538	0.04239395	-0.0351833	
0.02592	0.04237578	-0.03363799	
0.02646	0.04235842	-0.03214787	
0.027	0.04234182	-0.03075434	
0.02754	0.04232593	-0.02941599	
0.02808	0.04231073	-0.02814664	
0.02862	0.04229619	-0.02692557	
0.02916	0.04228226	-0.02579418	
0.0297	0.04226894	-0.0246766	
0.03024	0.04225617	-0.02364179	
0.03078	0.04224394	-0.02265528	
0.03132	0.04223222	-0.02169636	
0.03186	0.04222099	-0.02080644	
0.0324	0.04221022	-0.0199441	
0.03294	0.04219989	-0.01912316	
0.03348	0.04218999	-0.0183436	
0.03402	0.04218049	-0.01759165	
0.03456	0.04217137	-0.01688798	
0.0351	0.04216261	-0.01621881	
0.03564	0.0421542	-0.01556343	
0.03618	0.04214614	-0.01493565	
0.03672	0.04213839	-0.01435616	
0.03726	0.04213093	-0.01380427	
0.0378	0.04212378	-0.01323858	
0.03834	0.0421169	-0.01274877	
0.03888	0.04211028	-0.01225207	
0.03942	0.04210392	-0.01177606	
0.03996	0.04209781	-0.01132764	
0.0405	0.04209192	-0.01090682	
0.04104	0.04208625	-0.010486	
0.04158	0.0420808	-0.01009968	
0.04212	0.04207556	-0.009713349	
0.04266	0.0420705	-0.009354617	
0.0432	0.04206564	-0.009009683	
0.04374	0.04206095	-0.008678546	
0.04428	0.04205644	-0.008361206	
0.04482	0.04205208	-0.008064563	
0.04536	0.04204789	-0.007767919	
0.0459	0.04204385	-0.007485074	
0.04644	0.04203995	-0.007222923	
0.04698	0.04203619	-0.006960773	
0.04752	0.04203255	-0.006726218	
0.04806	0.04202906	-0.006470967	
0.0486	0.04202569	-0.006250209	
0.04914	0.04202243	-0.00603635	
0.04968	0.04201928	-0.005829389	
0.05022	0.04201624	-0.005629327	
0.05076	0.04201331	-0.005415468	
0.0513	0.04201047	-0.005256798	
0.05184	0.04200774	-0.005063635	
0.05238	0.0420051	-0.004884269	
0.05292	0.04200255	-0.004732498	
0.05346	0.04200008	-0.00456693	
0.054	0.0419977	-0.004415159	
0.05454	0.04199539	-0.004277185	
0.05508	0.04199316	-0.004118515	
0.05562	0.04199101	-0.003994339	
0.05616	0.04198892	-0.003856365	
0.0567	0.04198691	-0.003732189	
0.05724	0.04198496	-0.003614911	
