TimeSlice	Time	LH_BicepsFemorisPosterior	LH_TensorFasciaLatae	neur2	LH_BicepsFemorisPosterior
0	0	0.0432296	0	-0.0598054	0
1	0.00054	0.0432296	0	-0.0596309	0
2	0.00108	0.0432296	96.1438	-0.0594744	0
3	0.00162	0.0432296	96.1438	-0.059334	0
4	0.00216	0.0432296	96.1438	-0.0592082	0
5	0.0027	0.0432296	96.1438	-0.0590953	0
6	0.00324	0.0432296	96.1438	-0.0589942	0
7	0.00378	0.0432296	96.1438	-0.0589036	0
8	0.00432	0.0432296	96.1438	-0.0588224	0
9	0.00486	0.0432296	96.1438	-0.0587496	0
10	0.0054	0.0432296	96.1438	-0.0586845	0
11	0.00594	0.0432365	96.1268	-0.0586262	0.00430018
12	0.00648	0.0432365	96.1268	-0.058574	0.00430018
13	0.00702	0.0432365	96.1268	-0.0585273	0.00430018
14	0.00756	0.0432464	96.1268	-0.0584856	0.00612603
15	0.0081	0.0432464	96.1268	-0.0584483	0.00612603
16	0.00864	0.0432464	96.1268	-0.058415	0.00612603
17	0.00918	0.0432643	96.1979	-0.0583853	0.0110034
18	0.00972	0.0432643	96.1979	-0.0583588	0.0110034
19	0.01026	0.0432643	96.1979	-0.0583352	0.0110034
20	0.0108	0.0432838	96.3335	-0.0583142	0.012075
21	0.01134	0.0432838	96.3335	-0.0582956	0.012075
22	0.01188	0.0432838	96.3335	-0.058279	0.012075
23	0.01242	0.0433103	96.436	-0.0582643	0.016343
24	0.01296	0.0433103	96.436	-0.0582514	0.016343
25	0.0135	0.0433103	96.436	-0.0582399	0.016343
26	0.01404	0.0433508	96.436	-0.0582299	0.0250123
27	0.01458	0.0433508	96.436	-0.058221	0.0250123
28	0.01512	0.0433508	96.436	-0.0582133	0.0250123
29	0.01566	0.0433863	96.76	-0.0582066	0.0219079
30	0.0162	0.0433863	96.76	-0.0582008	0.0219079
31	0.01674	0.0433863	96.76	-0.0581958	0.0219079
32	0.01728	0.0434326	96.9277	-0.0581915	0.0285813
33	0.01782	0.0434326	96.9277	-0.0581879	0.0285813
34	0.01836	0.0434326	96.9277	-0.0581849	0.0285813
35	0.0189	0.0434966	96.9277	-0.0581824	0.039518
36	0.01944	0.0434966	96.9277	-0.0581804	0.039518
