TimeSlice	Time	
0	0	
1	0.00054	
2	0.00108	
3	0.00162	
4	0.00216	
5	0.0027	
6	0.00324	
7	0.00378	
8	0.00432	
9	0.00486	
10	0.0054	
11	0.00594	
12	0.00648	
13	0.00702	
14	0.00756	
15	0.0081	
16	0.00864	
17	0.00918	
18	0.00972	
19	0.01026	
20	0.0108	
21	0.01134	
22	0.01188	
23	0.01242	
24	0.01296	
25	0.0135	
26	0.01404	
27	0.01458	
28	0.01512	
29	0.01566	
30	0.0162	
31	0.01674	
32	0.01728	
33	0.01782	
34	0.01836	
35	0.0189	
36	0.01944	
37	0.01998	
38	0.02052	
39	0.02106	
40	0.0216	
41	0.02214	
42	0.02268	
43	0.02322	
44	0.02376	
45	0.0243	
46	0.02484	
47	0.02538	
48	0.02592	
49	0.02646	
50	0.027	
51	0.02754	
52	0.02808	
53	0.02862	
54	0.02916	
55	0.0297	
56	0.03024	
57	0.03078	
58	0.03132	
59	0.03186	
60	0.0324	
61	0.03294	
62	0.03348	
63	0.03402	
64	0.03456	
65	0.0351	
66	0.03564	
67	0.03618	
68	0.03672	
69	0.03726	
70	0.0378	
71	0.03834	
72	0.03888	
73	0.03942	
74	0.03996	
75	0.0405	
76	0.04104	
77	0.04158	
78	0.04212	
79	0.04266	
80	0.0432	
81	0.04374	
82	0.04428	
83	0.04482	
84	0.04536	
85	0.0459	
86	0.04644	
87	0.04698	
88	0.04752	
89	0.04806	
90	0.0486	
91	0.04914	
92	0.04968	
93	0.05022	
94	0.05076	
95	0.0513	
96	0.05184	
97	0.05238	
98	0.05292	
99	0.05346	
100	0.054	
101	0.05454	
102	0.05508	
103	0.05562	
104	0.05616	
105	0.0567	
106	0.05724	
107	0.05778	
108	0.05832	
109	0.05886	
110	0.0594	
111	0.05994	
112	0.06048	
113	0.06102	
114	0.06156	
115	0.0621	
116	0.06264	
117	0.06318	
118	0.06372	
119	0.06426	
120	0.0648	
121	0.06534	
122	0.06588	
123	0.06642	
124	0.06696	
125	0.0675	
126	0.06804	
127	0.06858	
128	0.06912	
129	0.06966	
130	0.0702	
131	0.07074	
132	0.07128	
133	0.07182	
134	0.07236	
135	0.0729	
136	0.07344	
137	0.07398	
138	0.07452	
139	0.07506	
140	0.0756	
141	0.07614	
142	0.07668	
143	0.07722	
144	0.07776	
145	0.0783	
146	0.07884	
147	0.07938	
148	0.07992	
149	0.08046	
150	0.081	
151	0.08154	
152	0.08208	
153	0.08262	
154	0.08316	
155	0.0837	
156	0.08424	
157	0.08478	
158	0.08532	
159	0.08586	
160	0.0864	
161	0.08694	
162	0.08748	
163	0.08802	
164	0.08856	
165	0.0891	
166	0.08964	
167	0.09018	
168	0.09072	
169	0.09126	
170	0.0918	
171	0.09234	
172	0.09288	
173	0.09342	
174	0.09396	
175	0.0945	
176	0.09504	
177	0.09558	
178	0.09612	
179	0.09666	
180	0.0972	
181	0.09774	
182	0.09828	
183	0.09882	
184	0.09936	
185	0.0999	
186	0.10044	
187	0.10098	
188	0.10152	
189	0.10206	
190	0.1026	
191	0.10314	
192	0.10368	
193	0.10422	
194	0.10476	
195	0.1053	
196	0.10584	
197	0.10638	
198	0.10692	
199	0.10746	
200	0.108	
201	0.10854	
202	0.10908	
203	0.10962	
204	0.11016	
205	0.1107	
206	0.11124	
207	0.11178	
208	0.11232	
209	0.11286	
210	0.1134	
211	0.11394	
212	0.11448	
213	0.11502	
214	0.11556	
215	0.1161	
216	0.11664	
217	0.11718	
218	0.11772	
219	0.11826	
220	0.1188	
221	0.11934	
222	0.11988	
223	0.12042	
224	0.12096	
225	0.1215	
226	0.12204	
227	0.12258	
228	0.12312	
229	0.12366	
230	0.1242	
231	0.12474	
232	0.12528	
233	0.12582	
234	0.12636	
235	0.1269	
236	0.12744	
237	0.12798	
238	0.12852	
239	0.12906	
240	0.1296	
241	0.13014	
242	0.13068	
243	0.13122	
244	0.13176	
245	0.1323	
246	0.13284	
247	0.13338	
248	0.13392	
249	0.13446	
250	0.135	
251	0.13554	
252	0.13608	
253	0.13662	
254	0.13716	
255	0.1377	
256	0.13824	
257	0.13878	
258	0.13932	
259	0.13986	
260	0.1404	
261	0.14094	
262	0.14148	
263	0.14202	
264	0.14256	
265	0.1431	
266	0.14364	
267	0.14418	
268	0.14472	
269	0.14526	
270	0.1458	
271	0.14634	
272	0.14688	
273	0.14742	
274	0.14796	
275	0.1485	
276	0.14904	
277	0.14958	
278	0.15012	
279	0.15066	
280	0.1512	
281	0.15174	
282	0.15228	
283	0.15282	
284	0.15336	
285	0.1539	
286	0.15444	
287	0.15498	
288	0.15552	
289	0.15606	
290	0.1566	
291	0.15714	
292	0.15768	
293	0.15822	
294	0.15876	
295	0.1593	
296	0.15984	
297	0.16038	
298	0.16092	
299	0.16146	
300	0.162	
301	0.16254	
302	0.16308	
303	0.16362	
304	0.16416	
305	0.1647	
306	0.16524	
307	0.16578	
308	0.16632	
309	0.16686	
310	0.1674	
311	0.16794	
312	0.16848	
313	0.16902	
314	0.16956	
315	0.1701	
316	0.17064	
317	0.17118	
318	0.17172	
319	0.17226	
320	0.1728	
321	0.17334	
322	0.17388	
323	0.17442	
324	0.17496	
325	0.1755	
326	0.17604	
327	0.17658	
328	0.17712	
329	0.17766	
330	0.1782	
331	0.17874	
332	0.17928	
333	0.17982	
334	0.18036	
335	0.1809	
336	0.18144	
337	0.18198	
338	0.18252	
339	0.18306	
340	0.1836	
341	0.18414	
342	0.18468	
343	0.18522	
344	0.18576	
345	0.1863	
346	0.18684	
347	0.18738	
348	0.18792	
349	0.18846	
350	0.189	
351	0.18954	
352	0.19008	
353	0.19062	
354	0.19116	
355	0.1917	
356	0.19224	
357	0.19278	
358	0.19332	
359	0.19386	
360	0.1944	
361	0.19494	
362	0.19548	
363	0.19602	
364	0.19656	
365	0.1971	
366	0.19764	
367	0.19818	
368	0.19872	
369	0.19926	
370	0.1998	
371	0.20034	
372	0.20088	
373	0.20142	
374	0.20196	
375	0.2025	
376	0.20304	
377	0.20358	
378	0.20412	
379	0.20466	
380	0.2052	
381	0.20574	
382	0.20628	
383	0.20682	
384	0.20736	
385	0.2079	
386	0.20844	
387	0.20898	
388	0.20952	
389	0.21006	
390	0.2106	
391	0.21114	
392	0.21168	
393	0.21222	
394	0.21276	
395	0.2133	
396	0.21384	
397	0.21438	
398	0.21492	
399	0.21546	
400	0.216	
401	0.21654	
402	0.21708	
403	0.21762	
404	0.21816	
405	0.2187	
406	0.21924	
407	0.21978	
408	0.22032	
409	0.22086	
410	0.2214	
411	0.22194	
412	0.22248	
413	0.22302	
414	0.22356	
415	0.2241	
416	0.22464	
417	0.22518	
418	0.22572	
419	0.22626	
420	0.2268	
421	0.22734	
422	0.22788	
423	0.22842	
424	0.22896	
425	0.2295	
426	0.23004	
427	0.23058	
428	0.23112	
429	0.23166	
430	0.2322	
431	0.23274	
432	0.23328	
433	0.23382	
434	0.23436	
435	0.2349	
436	0.23544	
437	0.23598	
438	0.23652	
439	0.23706	
440	0.2376	
441	0.23814	
442	0.23868	
443	0.23922	
444	0.23976	
445	0.2403	
446	0.24084	
447	0.24138	
448	0.24192	
449	0.24246	
450	0.243	
451	0.24354	
452	0.24408	
453	0.24462	
454	0.24516	
455	0.2457	
456	0.24624	
457	0.24678	
458	0.24732	
459	0.24786	
460	0.2484	
461	0.24894	
462	0.24948	
463	0.25002	
464	0.25056	
465	0.2511	
466	0.25164	
467	0.25218	
468	0.25272	
469	0.25326	
470	0.2538	
471	0.25434	
472	0.25488	
473	0.25542	
474	0.25596	
475	0.2565	
476	0.25704	
477	0.25758	
478	0.25812	
479	0.25866	
480	0.2592	
481	0.25974	
482	0.26028	
483	0.26082	
484	0.26136	
485	0.2619	
486	0.26244	
487	0.26298	
488	0.26352	
489	0.26406	
490	0.2646	
491	0.26514	
492	0.26568	
493	0.26622	
494	0.26676	
495	0.2673	
496	0.26784	
497	0.26838	
498	0.26892	
499	0.26946	
500	0.27	
501	0.27054	
502	0.27108	
503	0.27162	
504	0.27216	
505	0.2727	
506	0.27324	
507	0.27378	
508	0.27432	
509	0.27486	
510	0.2754	
511	0.27594	
512	0.27648	
513	0.27702	
514	0.27756	
515	0.2781	
516	0.27864	
517	0.27918	
518	0.27972	
519	0.28026	
520	0.2808	
521	0.28134	
522	0.28188	
523	0.28242	
524	0.28296	
525	0.2835	
526	0.28404	
527	0.28458	
528	0.28512	
529	0.28566	
530	0.2862	
531	0.28674	
532	0.28728	
533	0.28782	
534	0.28836	
535	0.2889	
536	0.28944	
537	0.28998	
538	0.29052	
539	0.29106	
540	0.2916	
541	0.29214	
542	0.29268	
543	0.29322	
544	0.29376	
545	0.2943	
546	0.29484	
547	0.29538	
548	0.29592	
549	0.29646	
550	0.297	
551	0.29754	
552	0.29808	
553	0.29862	
554	0.29916	
555	0.2997	
556	0.30024	
557	0.30078	
558	0.30132	
559	0.30186	
560	0.3024	
561	0.30294	
562	0.30348	
563	0.30402	
564	0.30456	
565	0.3051	
566	0.30564	
567	0.30618	
568	0.30672	
569	0.30726	
570	0.3078	
571	0.30834	
572	0.30888	
573	0.30942	
574	0.30996	
575	0.3105	
576	0.31104	
577	0.31158	
578	0.31212	
579	0.31266	
580	0.3132	
581	0.31374	
582	0.31428	
583	0.31482	
584	0.31536	
585	0.3159	
586	0.31644	
587	0.31698	
588	0.31752	
589	0.31806	
590	0.3186	
591	0.31914	
592	0.31968	
593	0.32022	
594	0.32076	
595	0.3213	
596	0.32184	
597	0.32238	
598	0.32292	
599	0.32346	
600	0.324	
601	0.32454	
602	0.32508	
603	0.32562	
604	0.32616	
605	0.3267	
606	0.32724	
607	0.32778	
608	0.32832	
609	0.32886	
610	0.3294	
611	0.32994	
612	0.33048	
613	0.33102	
614	0.33156	
615	0.3321	
616	0.33264	
617	0.33318	
618	0.33372	
619	0.33426	
620	0.3348	
621	0.33534	
622	0.33588	
623	0.33642	
624	0.33696	
625	0.3375	
626	0.33804	
627	0.33858	
628	0.33912	
629	0.33966	
630	0.3402	
631	0.34074	
632	0.34128	
633	0.34182	
634	0.34236	
635	0.3429	
636	0.34344	
637	0.34398	
638	0.34452	
639	0.34506	
640	0.3456	
641	0.34614	
642	0.34668	
643	0.34722	
644	0.34776	
645	0.3483	
646	0.34884	
647	0.34938	
648	0.34992	
649	0.35046	
650	0.351	
651	0.35154	
652	0.35208	
653	0.35262	
654	0.35316	
655	0.3537	
656	0.35424	
657	0.35478	
658	0.35532	
659	0.35586	
660	0.3564	
661	0.35694	
662	0.35748	
663	0.35802	
664	0.35856	
665	0.3591	
666	0.35964	
667	0.36018	
668	0.36072	
669	0.36126	
670	0.3618	
671	0.36234	
672	0.36288	
673	0.36342	
674	0.36396	
675	0.3645	
676	0.36504	
677	0.36558	
678	0.36612	
679	0.36666	
680	0.3672	
681	0.36774	
682	0.36828	
683	0.36882	
684	0.36936	
685	0.3699	
686	0.37044	
687	0.37098	
688	0.37152	
689	0.37206	
690	0.3726	
691	0.37314	
692	0.37368	
693	0.37422	
694	0.37476	
695	0.3753	
696	0.37584	
697	0.37638	
698	0.37692	
699	0.37746	
700	0.378	
701	0.37854	
702	0.37908	
703	0.37962	
704	0.38016	
705	0.3807	
706	0.38124	
707	0.38178	
708	0.38232	
709	0.38286	
710	0.3834	
711	0.38394	
712	0.38448	
713	0.38502	
714	0.38556	
715	0.3861	
716	0.38664	
717	0.38718	
718	0.38772	
719	0.38826	
720	0.3888	
721	0.38934	
722	0.38988	
723	0.39042	
724	0.39096	
725	0.3915	
726	0.39204	
727	0.39258	
728	0.39312	
729	0.39366	
730	0.3942	
731	0.39474	
732	0.39528	
733	0.39582	
734	0.39636	
735	0.3969	
736	0.39744	
737	0.39798	
738	0.39852	
739	0.39906	
740	0.3996	
741	0.40014	
742	0.40068	
743	0.40122	
744	0.40176	
745	0.4023	
746	0.40284	
747	0.40338	
748	0.40392	
749	0.40446	
750	0.405	
751	0.40554	
752	0.40608	
753	0.40662	
754	0.40716	
755	0.4077	
756	0.40824	
