TimeSlice	Time	Ib Sensor (Tension)	ml Sensor Length
0	0	0.00554765	0.0671698
1	0.00054	0.0110623	0.0671698
2	0.00108	0.337379	0.0678108
3	0.00162	0.961853	0.0684103
4	0.00216	1.54294	0.0689713
5	0.0027	2.08366	0.0694965
6	0.00324	2.58683	0.0699883
7	0.00378	3.05504	0.070449
8	0.00432	3.4907	0.0708808
9	0.00486	3.89603	0.0712857
10	0.0054	4.27311	0.0716654
11	0.00594	4.62384	0.0720216
12	0.00648	4.94999	0.0723559
13	0.00702	5.25319	0.0726698
14	0.00756	5.53499	0.0729646
15	0.0081	5.7968	0.0732416
16	0.00864	6.03992	0.0735019
17	0.00918	6.26559	0.0737465
18	0.00972	6.47493	0.0739766
19	0.01026	6.669	0.074193
20	0.0108	6.84878	0.0743965
21	0.01134	7.0152	0.0745881
22	0.01188	7.16909	0.0747684
23	0.01242	7.31126	0.0749382
24	0.01296	7.44245	0.0750981
25	0.0135	7.56336	0.0752487
26	0.01404	7.67461	0.0753905
27	0.01458	7.77683	0.0755242
28	0.01512	7.87056	0.0756502
29	0.01566	7.95634	0.0757689
30	0.0162	8.03467	0.0758809
31	0.01674	8.10599	0.0759865
32	0.01728	8.17074	0.076086
33	0.01782	8.22934	0.07618
34	0.01836	8.28214	0.0762686
35	0.0189	8.32952	0.0763521
36	0.01944	8.37179	0.076431
37	0.01998	8.40928	0.0765055
38	0.02052	8.44228	0.0765757
39	0.02106	8.47105	0.076642
40	0.0216	8.49586	0.0767046
41	0.02214	8.51695	0.0767637
42	0.02268	8.53455	0.0768196
43	0.02322	8.54886	0.0768723
44	0.02376	8.56011	0.076922
45	0.0243	8.56846	0.076969
46	0.02484	8.57409	0.0770134
47	0.02538	8.57719	0.0770554
48	0.02592	8.57789	0.077095
49	0.02646	8.57635	0.0771324
50	0.027	8.57272	0.0771677
51	0.02754	8.56711	0.0772012
52	0.02808	8.55966	0.0772327
53	0.02862	8.55048	0.0772625
54	0.02916	8.53968	0.0772907
55	0.0297	8.52736	0.0773174
56	0.03024	8.51361	0.0773425
57	0.03078	8.49854	0.0773663
58	0.03132	8.48222	0.0773888
59	0.03186	8.46475	0.07741
60	0.0324	8.44618	0.0774301
61	0.03294	8.42661	0.0774491
62	0.03348	8.40609	0.077467
63	0.03402	8.38469	0.077484
64	0.03456	8.36247	0.0775
65	0.0351	8.33948	0.0775151
66	0.03564	8.31578	0.0775294
67	0.03618	8.29143	0.077543
68	0.03672	8.26647	0.0775558
69	0.03726	8.24093	0.0775678
70	0.0378	8.21488	0.0775793
71	0.03834	8.18834	0.0775901
