TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
0	0	8.14778e-017	-2.6563e-018	8.29415e-017
1	0.00054	-0.0270102	-0.00870029	-0.0518883
2	0.00108	-0.0525542	-0.0169341	-0.100973
3	0.00162	-0.0767112	-0.0247272	-0.147405
4	0.00216	-0.0995561	-0.0321033	-0.191326
5	0.0027	-0.12116	-0.039085	-0.232873
6	0.00324	-0.141589	-0.0456937	-0.272174
7	0.00378	-0.160908	-0.0519496	-0.30935
8	0.00432	-0.179177	-0.0578717	-0.344516
9	0.00486	-0.196452	-0.0634781	-0.37778
10	0.0054	-0.212786	-0.0687859	-0.409245
11	0.00594	-0.228232	-0.0738113	-0.439008
12	0.00648	-0.242836	-0.0785696	-0.467161
13	0.00702	-0.256645	-0.0830752	-0.493791
14	0.00756	-0.269701	-0.0873419	-0.51898
15	0.0081	-0.282045	-0.0913826	-0.542806
16	0.00864	-0.293716	-0.0952096	-0.565343
17	0.00918	-0.304749	-0.0988344	-0.58666
18	0.00972	-0.315181	-0.102268	-0.606823
19	0.01026	-0.325042	-0.105521	-0.625894
20	0.0108	-0.334364	-0.108602	-0.643932
21	0.01134	-0.343177	-0.111523	-0.660994
22	0.01188	-0.351507	-0.11429	-0.677131
23	0.01242	-0.35938	-0.116912	-0.692393
24	0.01296	-0.366823	-0.119398	-0.706829
25	0.0135	-0.373857	-0.121754	-0.720482
26	0.01404	-0.380505	-0.123988	-0.733395
27	0.01458	-0.386789	-0.126106	-0.745607
28	0.01512	-0.392726	-0.128115	-0.757157
29	0.01566	-0.398338	-0.130021	-0.76808
30	0.0162	-0.40364	-0.131828	-0.77841
31	0.01674	-0.40865	-0.133544	-0.78818
32	0.01728	-0.413384	-0.135172	-0.797418
33	0.01782	-0.417856	-0.136717	-0.806155
34	0.01836	-0.422082	-0.138184	-0.814417
35	0.0189	-0.426073	-0.139577	-0.822229
36	0.01944	-0.429844	-0.1409	-0.829616
37	0.01998	-0.433405	-0.142158	-0.836602
38	0.02052	-0.436769	-0.143353	-0.843206
39	0.02106	-0.439946	-0.144488	-0.849451
40	0.0216	-0.442946	-0.145569	-0.855356
41	0.02214	-0.445779	-0.146596	-0.860938
42	0.02268	-0.448453	-0.147574	-0.866216
43	0.02322	-0.450979	-0.148504	-0.871205
44	0.02376	-0.453362	-0.14939	-0.875922
45	0.0243	-0.455613	-0.150234	-0.88038
46	0.02484	-0.457736	-0.151039	-0.884595
47	0.02538	-0.459741	-0.151805	-0.888578
48	0.02592	-0.461632	-0.152537	-0.892343
49	0.02646	-0.463417	-0.153234	-0.895901
