Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0	0	0	0	
0.00162	0	0	0	
0.00324	8.147779E-17	8.294147E-17	-2.656296E-18	
0.00486	-9.719993E-05	-9.719864E-05	-9.71991E-05	
0.00648	-0.04692739	-0.110181	-0.01883162	
0.008099999	-0.09371015	-0.2202352	-0.03757973	
0.00972	-0.1360651	-0.3176588	-0.05418213	
0.01134	-0.1739976	-0.4024532	-0.06863738	
0.01296	-0.2079239	-0.4760654	-0.08119524	
0.01458	-0.2382596	-0.5399421	-0.09210577	
0.0162	-0.2653814	-0.5953644	-0.10159	
0.01782	-0.2896269	-0.6434477	-0.1098401	
0.01944	-0.3112984	-0.6851605	-0.1170224	
0.02106	-0.3306667	-0.7213435	-0.1232811	
0.02268	-0.3479741	-0.7527263	-0.1287408	
0.0243	-0.3634375	-0.7799425	-0.1335098	
0.02592	-0.3772512	-0.8035416	-0.1376816	
0.02754	-0.3895891	-0.8240009	-0.1413372	
0.02916	-0.400607	-0.8417345	-0.1445467	
0.03078	-0.410444	-0.8571019	-0.1473711	
0.0324	-0.4192252	-0.8704152	-0.1498629	
0.03402	-0.4270621	-0.881945	-0.1520676	
0.03564	-0.4340548	-0.8919266	-0.1540247	
0.03726	-0.4402928	-0.900564	-0.1557683	
0.03888	-0.4458563	-0.9080341	-0.1573282	
0.0405	-0.4508171	-0.9144909	-0.1587298	
0.04212	-0.4552394	-0.9200676	-0.1599953	
0.04374	-0.4591807	-0.9248801	-0.1611439	
0.04536	-0.4626926	-0.929029	-0.1621923	
0.04698	-0.4658211	-0.9326014	-0.1631548	
0.0486	-0.4686075	-0.9356731	-0.1640439	
0.05022	-0.4710887	-0.9383097	-0.1648704	
0.05184	-0.4732979	-0.9405684	-0.1656436	
0.05346	-0.4752646	-0.9424987	-0.1663715	
0.05508	-0.4770154	-0.9441436	-0.1670612	
0.0567	-0.4785739	-0.9455403	-0.1677186	
0.05832	-0.4799615	-0.9467212	-0.1683491	
0.05994	-0.4811971	-0.9477145	-0.1689571	
0.06156	-0.4822978	-0.9485444	-0.1695466	
0.06318	-0.4832788	-0.9492323	-0.1701209	
0.06479999	-0.4841538	-0.9497965	-0.1706829	
0.06642	-0.4849349	-0.9502529	-0.1712351	
0.06804	-0.4856331	-0.9506153	-0.1717798	
0.06966	-0.4862582	-0.9508959	-0.1723189	
0.07128	-0.486819	-0.9511049	-0.1728538	
0.0729	-0.4873232	-0.9512516	-0.1733861	
0.07452	-0.4877779	-0.9513436	-0.1739169	
0.07613999	-0.4881893	-0.9513878	-0.1744473	
0.07776	-0.4885632	-0.9513902	-0.1749776	
0.07938	-0.4889044	-0.9513561	-0.1755096	
0.081	-0.4892175	-0.9512898	-0.1760436	
0.08261999	-0.4895066	-0.951195	-0.17658	
0.08424	-0.4897752	-0.9510751	-0.1771192	
0.08586	-0.4900265	-0.9509331	-0.1776618	
0.08747999	-0.4902634	-0.9507715	-0.178208	
0.0891	-0.4904885	-0.9505924	-0.1787581	
0.09072	-0.4907042	-0.9503978	-0.1793125	
0.09234	-0.4909124	-0.9501893	-0.1798712	
0.09395999	-0.491115	-0.9499683	-0.1804344	
0.09558	-0.4913136	-0.9497362	-0.1810024	
0.0972	-0.4915098	-0.9494939	-0.1815751	
0.09881999	-0.4917047	-0.9492425	-0.1821528	
0.10044	-0.4918997	-0.9489827	-0.1827354	
0.10206	-0.4920956	-0.9487152	-0.183323	
0.10368	-0.4922936	-0.9484407	-0.1839157	
0.1053	-0.4924943	-0.9481596	-0.1845135	
0.10692	-0.4926986	-0.9478725	-0.1851164	
0.10854	-0.4929071	-0.9475796	-0.1857244	
0.11016	-0.4931203	-0.9472814	-0.1863375	
