TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
0	0	0	0	0
3	0.00162	0	0	0
6	0.00324	8.14778e-017	-2.6563e-018	8.29415e-017
9	0.00486	-4.34899e-012	8.93332e-010	8.58955e-010
12	0.00648	2.15469e-011	0.000785579	0.000307827
15	0.0081	0.00062651	0.00148033	0.000307828
18	0.00972	0.00211618	0.00148032	-0.000979549
21	0.01134	0.00211618	0.000435067	-0.00346869
24	0.01296	0.00211618	0.000435067	-0.00537983
27	0.01458	0.00211618	0.00326916	-0.00537986
30	0.0162	0.00211619	-0.000316094	-0.0116121
33	0.01782	0.00211619	-0.000316093	-0.0149492
36	0.01944	0.00211619	0.00415725	-0.0149493
39	0.02106	0.0021162	0.00228493	-0.0218221
42	0.02268	0.0021162	0.00228494	-0.0251698
45	0.0243	0.0021162	0.00597095	-0.0251698
48	0.02592	0.00211621	0.00235441	-0.0325527
51	0.02754	0.00211621	0.00235441	-0.0350112
54	0.02916	0.00211621	0.00456794	-0.0350113
57	0.03078	0.00211622	-0.00209064	-0.0431293
60	0.0324	0.00211622	-0.00209064	-0.0450958
63	0.03402	0.00211623	-0.000345284	-0.0450958
66	0.03564	0.00211623	-0.00830893	-0.0536903
69	0.03726	0.00211624	-0.00830893	-0.0557769
72	0.03888	0.00211624	-0.00616338	-0.0557769
75	0.0405	0.00211624	-0.0135415	-0.0643914
78	0.04212	0.00211625	-0.0135415	-0.0667197
81	0.04374	0.00211625	-0.0110379	-0.0667198
84	0.04536	0.00211626	-0.0176856	-0.0751954
87	0.04698	0.00211626	-0.0176856	-0.0775386
90	0.0486	0.00211627	-0.0152607	-0.0775387
93	0.05022	0.00211628	-0.0219536	-0.0859748
96	0.05184	0.00211628	-0.0219536	-0.0881658
99	0.05346	0.00211629	-0.0197974	-0.0881658
102	0.05508	0.00211629	-0.0269362	-0.0966619
105	0.0567	0.0021163	-0.0269362	-0.0987305
108	0.05832	0.0021163	-0.0249343	-0.0987305
111	0.05994	0.00211631	-0.0323408	-0.107281
114	0.06156	0.00211631	-0.0323408	-0.109325
117	0.06318	0.00211632	-0.0303442	-0.109325
120	0.0648	0.00211633	-0.0377222	-0.117872
123	0.06642	0.00211633	-0.0377222	-0.11993
126	0.06804	0.00211634	-0.0357094	-0.11993
129	0.06966	0.00211634	-0.0429888	-0.128442
132	0.07128	0.00211635	-0.0429888	-0.130487
135	0.0729	0.00211635	-0.0410173	-0.130487
138	0.07452	0.00211636	-0.0482936	-0.138972
141	0.07614	0.00211637	-0.0482936	-0.140977
144	0.07776	0.00211637	-0.0463997	-0.140977
147	0.07938	0.00211638	-0.0537424	-0.149449
150	0.081	0.00211639	-0.0537424	-0.151413
