TimeSlice	Time	neur1	neur2	neur3	neur4	neur5	neur6	neur7
0	0	-0.06	-0.06	-0.0598739	-0.06	-0.06	-0.0590874	-0.0598781
1	0.00054	-0.06	-0.06	-0.0597607	-0.06	-0.06	-0.0582681	-0.0597686
2	0.00108	-0.06	-0.06	-0.0596591	-0.06	-0.06	-0.0575328	-0.0596703
3	0.00162	-0.06	-0.06	-0.0595679	-0.06	-0.06	-0.0568727	-0.0595821
4	0.00216	-0.06	-0.06	-0.0594861	-0.06	-0.06	-0.0562802	-0.059503
5	0.0027	-0.06	-0.06	-0.0594126	-0.06	-0.06	-0.0557484	-0.0594319
6	0.00324	-0.06	-0.06	-0.0593466	-0.06	-0.06	-0.055271	-0.0593681
7	0.00378	-0.06	-0.06	-0.0592874	-0.06	-0.06	-0.0548425	-0.0593109
8	0.00432	-0.06	-0.06	-0.0592343	-0.06	-0.06	-0.0544578	-0.0592595
9	0.00486	-0.06	-0.06	-0.0591866	-0.06	-0.06	-0.0541126	-0.0592133
10	0.0054	-0.06	-0.06	-0.0591438	-0.06	-0.06	-0.0538026	-0.0591719
11	0.00594	-0.06	-0.06	-0.0591053	-0.06	-0.06	-0.0535244	-0.0591347
12	0.00648	-0.06	-0.06	-0.0590708	-0.06	-0.06	-0.0532747	-0.0591014
13	0.00702	-0.06	-0.06	-0.0590398	-0.06	-0.06	-0.0530506	-0.0590714
14	0.00756	-0.06	-0.06	-0.0590121	-0.06	-0.06	-0.0528493	-0.0590445
15	0.0081	-0.06	-0.06	-0.0589871	-0.06	-0.06	-0.0526687	-0.0590204
16	0.00864	-0.06	-0.06	-0.0589647	-0.06	-0.06	-0.0525066	-0.0589987
17	0.00918	-0.06	-0.06	-0.0589446	-0.06	-0.06	-0.0523611	-0.0589793
18	0.00972	-0.06	-0.06	-0.0589265	-0.06	-0.06	-0.0522305	-0.0589618
19	0.01026	-0.06	-0.06	-0.0589103	-0.06	-0.06	-0.0521132	-0.0589462
20	0.0108	-0.06	-0.06	-0.0588958	-0.06	-0.06	-0.052008	-0.0589321
21	0.01134	-0.06	-0.06	-0.0588828	-0.06	-0.06	-0.0519135	-0.0589195
22	0.01188	-0.06	-0.06	-0.058871	-0.06	-0.06	-0.0518287	-0.0589082
23	0.01242	-0.06	-0.06	-0.0588605	-0.06	-0.06	-0.0517526	-0.058898
24	0.01296	-0.06	-0.06	-0.0588511	-0.06	-0.06	-0.0516842	-0.0588889
25	0.0135	-0.06	-0.06	-0.0588426	-0.06	-0.06	-0.0516229	-0.0588807
26	0.01404	-0.06	-0.06	-0.058835	-0.06	-0.06	-0.0515678	-0.0588733
27	0.01458	-0.06	-0.06	-0.0588282	-0.06	-0.06	-0.0515184	-0.0588667
28	0.01512	-0.06	-0.06	-0.058822	-0.06	-0.06	-0.0514741	-0.0588608
29	0.01566	-0.06	-0.06	-0.0588165	-0.06	-0.06	-0.0514342	-0.0588555
30	0.0162	-0.06	-0.06	-0.0588116	-0.06	-0.06	-0.0513985	-0.0588507
31	0.01674	-0.06	-0.06	-0.0588072	-0.06	-0.06	-0.0513664	-0.0588464
32	0.01728	-0.06	-0.06	-0.0588032	-0.06	-0.06	-0.0513376	-0.0588425
33	0.01782	-0.06	-0.06	-0.0587996	-0.06	-0.06	-0.0513118	-0.0588391
34	0.01836	-0.06	-0.06	-0.0587964	-0.06	-0.06	-0.0512886	-0.058836
35	0.0189	-0.06	-0.06	-0.0587935	-0.06	-0.06	-0.0512677	-0.0588332
36	0.01944	-0.06	-0.06	-0.0587909	-0.06	-0.06	-0.051249	-0.0588307
37	0.01998	-0.06	-0.06	-0.0587886	-0.06	-0.06	-0.0512323	-0.0588285
38	0.02052	-0.06	-0.06	-0.0587865	-0.06	-0.06	-0.0512172	-0.0588265
39	0.02106	-0.06	-0.06	-0.0587847	-0.06	-0.06	-0.0512037	-0.0588246
40	0.0216	-0.06	-0.06	-0.058783	-0.06	-0.06	-0.0511915	-0.058823
41	0.02214	-0.06	-0.06	-0.0587815	-0.06	-0.06	-0.0511806	-0.0588216
42	0.02268	-0.06	-0.06	-0.0587801	-0.06	-0.06	-0.0511709	-0.0588203
43	0.02322	-0.06	-0.06	-0.0587789	-0.06	-0.06	-0.0511621	-0.0588191
