TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	99.2398	99.9997	98.7007	98.9161	99.313	99.9035	98.937	99.1646	99.937	100	99.9995	100
1	0.00054	99.2398	99.9997	98.7007	98.6266	99.313	99.9035	98.7415	99.1646	99.937	100	99.9995	99.9942
2	0.00108	99.0147	99.9988	98.4194	98.3217	99.2465	99.8836	98.5415	98.8858	99.936	99.9993	99.9986	99.9927
3	0.00162	98.7754	99.9975	98.1298	98.0059	99.1807	99.8632	98.3392	98.5848	99.9428	99.9977	99.9974	99.9913
4	0.00216	98.5257	99.9958	97.8352	97.6827	99.1161	99.8425	98.1359	98.2666	99.9493	99.9953	99.9959	99.9897
5	0.0027	98.2685	99.9939	97.5383	97.3552	99.0527	99.8216	97.9331	97.9355	99.9554	99.9924	99.9942	99.9882
6	0.00324	98.0069	99.9918	97.2416	97.0261	98.9908	99.8007	97.7318	97.5954	99.961	99.989	99.9923	99.9867
7	0.00378	97.7429	99.9895	96.947	96.6977	98.9305	99.78	97.5331	97.2495	99.9661	99.9852	99.9903	99.9852
8	0.00432	97.4787	99.9872	96.656	96.3718	98.8719	99.7595	97.3378	96.9007	99.9708	99.9812	99.9883	99.9837
9	0.00486	97.2158	99.9848	96.37	96.0499	98.8151	99.7394	97.1463	96.5514	99.9751	99.977	99.9862	99.9822
10	0.0054	96.9556	99.9823	96.0899	95.7334	98.7601	99.7196	96.9594	96.2036	99.9789	99.9727	99.9841	99.9808
11	0.00594	96.6992	99.9799	95.8167	95.4232	98.7069	99.7003	96.7773	95.859	99.9824	99.9683	99.982	99.9794
12	0.00648	96.4477	99.9775	95.5508	95.1203	98.6557	99.6815	96.6004	95.5192	99.9855	99.9639	99.9799	99.9781
13	0.00702	96.2017	99.9751	95.2929	94.8253	98.6063	99.6633	96.4289	95.1853	99.9882	99.9595	99.9778	99.9768
14	0.00756	95.9619	99.9727	95.0432	94.5387	98.5588	99.6457	96.263	94.8584	99.9906	99.9551	99.9758	99.9755
15	0.0081	95.7286	99.9704	94.802	94.2609	98.5132	99.6286	96.1028	94.5391	99.9927	99.9507	99.9738	99.9743
16	0.00864	95.5024	99.9681	94.5694	93.9921	98.4695	99.6121	95.9483	94.2282	99.9944	99.9465	99.9718	99.9732
17	0.00918	95.2833	99.9659	94.3454	93.7325	98.4275	99.5962	95.7995	93.9261	99.9959	99.9423	99.97	99.9721
18	0.00972	95.0716	99.9638	94.1301	93.4822	98.3873	99.5809	95.6564	93.6333	99.9972	99.9382	99.9681	99.971
19	0.01026	94.8674	99.9618	93.9234	93.2412	98.3488	99.5663	95.519	93.3499	99.9982	99.9343	99.9664	99.97
20	0.0108	94.6707	99.9598	93.7252	93.0095	98.3121	99.5522	95.3872	93.076	99.9989	99.9305	99.9647	99.969
21	0.01134	94.4815	99.9579	93.5353	92.787	98.2769	99.5387	95.2609	92.812	99.9995	99.9268	99.963	99.9681
22	0.01188	94.2997	99.956	93.3535	92.5735	98.2433	99.5257	95.1398	92.5575	99.9998	99.9232	99.9614	99.9672
23	0.01242	94.1253	99.9543	93.1797	92.3689	98.2113	99.5134	95.0241	92.3128	100	99.9197	99.9599	99.9664
24	0.01296	93.9581	99.9526	93.0135	92.1729	98.1808	99.5015	94.9134	92.0777	100	99.9164	99.9585	99.9656
25	0.0135	93.7979	99.951	92.855	91.9854	98.1516	99.4903	94.8077	91.852	99.9998	99.9133	99.9571	99.9648
26	0.01404	93.6446	99.9495	92.7036	91.8062	98.1239	99.4795	94.7067	91.6355	99.9995	99.9102	99.9558	99.9641
