TimeSlice	Time	adductorbrevis	bicepsfemorisposterior	flexordigitorumlongus	medialgastrocnemius	rectusfemoris	tensorfascialatae	tibialisanterior
0	0	0	0	0	0	0	0	0
3	0.00162	0	0	0	0	0.00295037	0.0281181	0.00379357
6	0.00324	0.000423296	6.11066e-006	0.000140341	1.57132e-012	0.00571987	0.0501962	0.00723702
9	0.00486	0.685633	0	3.53866	5.03229e-005	0.00819802	0.0668771	0.0102417
12	0.00648	1.91938	1.0816	6.05293	0.431298	0	0	0.0659943
15	0.0081	2.88389	2.85921	4.31746	1.15678	0	0	0.116229
18	0.00972	3.60547	3.95247	3.06006	1.64042	0	0	0.0779542
21	0.01134	4.12148	4.55095	2.16436	1.94244	0	0	0
24	0.01296	4.4695	4.80263	1.53245	2.1103	0	0	0
27	0.01458	4.68325	4.8187	1.08759	2.18112	0	0	0
30	0.0162	4.79139	4.68068	0.773081	2.18311	0	0	0
33	0.01782	4.81761	4.44718	0.548799	2.13732	0	0	0
36	0.01944	4.78116	4.15958	0.387028	2.05927	0	0	0
39	0.02106	4.69751	3.84661	0.268857	1.9603	0	0	0
42	0.02268	4.57904	3.52773	0.181415	1.84865	0	0	0
45	0.0243	4.43559	3.21574	0.1159	1.73027	0	0	0
48	0.02592	4.27492	2.91872	0.0662343	1.60939	0	0	0
51	0.02754	4.10316	2.64139	0.0281798	1.48901	0	0	0
54	0.02916	3.92512	2.38616	0	1.37122	0	0	0
57	0.03078	3.74451	2.15386	0	1.25742	0	0	0
60	0.0324	3.56423	1.94427	0	1.14854	0	0	0
63	0.03402	3.38645	1.75646	0	1.04516	0	0	0
66	0.03564	3.21284	1.58916	0	0.94757	0	0	0
69	0.03726	3.04459	1.44081	0	0.855898	0	0	0
72	0.03888	2.88256	1.30979	0	0.770137	0	0	0
75	0.0405	2.72734	1.19446	0	0.690176	0	0	0
78	0.04212	2.5793	1.09322	0	0.615827	0	0	0
81	0.04374	2.43862	1.00457	0	0.546869	0	0	0
84	0.04536	2.30535	0.927104	0	0.48306	0	0	0
87	0.04698	2.17945	0.859533	0	0.424129	0	0	0
90	0.0486	2.0608	0.800674	0	0.369797	0	0	0
93	0.05022	1.94919	0.749476	0	0.319798	0	0	0
96	0.05184	1.8444	0.704987	0	0.27385	0	0	0
99	0.05346	1.74617	0.666364	0	0.231684	0	0	0
102	0.05508	1.65422	0.63285	0	0.193048	0	0	0
105	0.0567	1.56824	0.603777	0	0.157692	0	0	0
