TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.0432296	0.00681624	0.0287674	0.0326093	0.0142719	0.0452928	0.0349926	0.0406531	0.0473872	0.0365076	0.0413471	0.0400915
1	0.00054	0.0432296	0.00681624	0.0287674	0.0326101	0.0142719	0.0452928	0.0349925	0.0406531	0.0473872	0.0365076	0.0413471	0.0400924
2	0.00108	0.0432306	0.00681621	0.0287678	0.0326115	0.0142721	0.0452928	0.0349921	0.0406545	0.0473874	0.0365072	0.0413468	0.0400932
3	0.00162	0.0432328	0.00681614	0.0287686	0.0326137	0.0142727	0.0452928	0.0349916	0.0406572	0.0473878	0.0365063	0.0413461	0.0400936
4	0.00216	0.043236	0.00681604	0.0287698	0.0326165	0.0142734	0.0452928	0.0349909	0.0406612	0.0473883	0.036505	0.0413452	0.0400938
5	0.0027	0.0432402	0.00681591	0.0287713	0.0326199	0.0142745	0.0452929	0.0349899	0.0406664	0.047389	0.0365032	0.041344	0.0400938
6	0.00324	0.0432453	0.00681574	0.028773	0.0326237	0.0142758	0.0452929	0.0349886	0.0406728	0.0473895	0.036501	0.0413424	0.0400936
7	0.00378	0.0432511	0.00681554	0.028775	0.0326279	0.0142774	0.0452931	0.0349869	0.04068	0.04739	0.0364985	0.0413406	0.0400931
8	0.00432	0.0432574	0.0068153	0.028777	0.0326321	0.0142792	0.0452933	0.0349848	0.040688	0.0473902	0.0364956	0.0413386	0.0400925
9	0.00486	0.0432641	0.00681503	0.028779	0.0326364	0.0142813	0.0452937	0.0349821	0.0406964	0.04739	0.0364925	0.0413364	0.0400917
10	0.0054	0.0432708	0.00681473	0.0287808	0.0326405	0.0142837	0.0452942	0.0349788	0.0407052	0.0473893	0.0364891	0.041334	0.0400907
11	0.00594	0.0432776	0.0068144	0.0287825	0.0326443	0.0142863	0.0452949	0.0349749	0.040714	0.047388	0.0364855	0.0413314	0.0400897
12	0.00648	0.0432841	0.00681403	0.0287838	0.0326478	0.0142892	0.0452958	0.0349703	0.0407226	0.0473859	0.0364818	0.0413288	0.0400885
13	0.00702	0.0432903	0.00681364	0.0287846	0.0326507	0.0142923	0.045297	0.0349649	0.0407308	0.047383	0.036478	0.0413261	0.0400873
14	0.00756	0.0432958	0.00681322	0.028785	0.032653	0.0142956	0.0452984	0.0349588	0.0407385	0.0473792	0.036474	0.0413233	0.0400861
15	0.0081	0.0433008	0.00681277	0.0287848	0.0326546	0.0142992	0.0453001	0.0349518	0.0407456	0.0473745	0.0364701	0.0413205	0.0400847
