TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15	-0.15
3	0.0006	-0.0600155	-0.0599987	-0.06	-0.06	-0.0600614	-0.06	-0.0593643	-0.0598243	-0.0596583	-0.06	-0.0599965	-0.0592874	-0.060062	-0.06	-0.0599997	-0.06	-0.0590064	-0.0594649	-0.0595397	-0.06	-0.0592308	-0.0599997	-0.0597811	-0.0599998	-0.0595557	-0.0593817	-0.06	-0.0592039	-0.0600401	-0.0596048	-0.0599997	-0.0595752	-0.0591636	-0.0592447	-0.0594099	-0.0592975	-0.0591967	-0.0592605
6	0.0012	-0.0600363	-0.059997	-0.06	-0.06	-0.0601439	-0.06	-0.0585043	-0.0595867	-0.0591962	-0.06	-0.0599917	-0.0583203	-0.0601453	-0.06	-0.0599993	-0.06	-0.0576597	-0.0587407	-0.0589174	-0.06	-0.0581897	-0.0599994	-0.0594851	-0.0599996	-0.0589551	-0.0585454	-0.06	-0.0581229	-0.0600939	-0.0590706	-0.0599993	-0.0590005	-0.0580273	-0.0582216	-0.0586107	-0.0583453	-0.0581077	-0.0582581
9	0.0018	-0.0600545	-0.0599955	-0.06	-0.06	-0.0602162	-0.06	-0.0577455	-0.0593769	-0.0587884	-0.06	-0.0599875	-0.0574629	-0.0602181	-0.06	-0.059999	-0.06	-0.0564681	-0.0581011	-0.0583686	-0.06	-0.0572702	-0.0599991	-0.059224	-0.0599995	-0.0584256	-0.0578075	-0.06	-0.0571641	-0.060141	-0.0585997	-0.059999	-0.0584933	-0.0570186	-0.057317	-0.0579042	-0.0575025	-0.0571437	-0.0573711
12	0.0024	-0.0600704	-0.0599942	-0.06	-0.06	-0.0602792	-0.06	-0.0570763	-0.0591919	-0.0584287	-0.06	-0.0599837	-0.0567028	-0.0602818	-0.06	-0.0599987	-0.06	-0.055414	-0.0575366	-0.057885	-0.06	-0.0564587	-0.0599988	-0.0589938	-0.0599993	-0.0579591	-0.0571568	-0.06	-0.0563135	-0.060182	-0.058185	-0.0599987	-0.058046	-0.0561231	-0.0565175	-0.0572799	-0.0567567	-0.0562907	-0.0565862
15	0.003	-0.0600842	-0.059993	-0.06	-0.06	-0.0603342	-0.06	-0.0564867	-0.0590288	-0.0581118	-0.06	-0.0599804	-0.0560291	-0.0603372	-0.06	-0.0599984	-0.06	-0.054482	-0.0570386	-0.0574591	-0.06	-0.0557428	-0.0599985	-0.0587911	-0.0599991	-0.0575485	-0.0565834	-0.06	-0.0555591	-0.0602178	-0.0578201	-0.0599984	-0.0576517	-0.055328	-0.0558111	-0.0567285	-0.0560971	-0.055536	-0.0558921
18	0.0036	-0.0600962	-0.0599919	-0.06	-0.0599999	-0.0603819	-0.0599999	-0.0559675	-0.0588852	-0.0578329	-0.06	-0.0599774	-0.055432	-0.0603854	-0.0599999	-0.0599982	-0.06	-0.0536581	-0.0565995	-0.0570845	-0.06	-0.0551117	-0.0599983	-0.0586128	-0.059999	-0.0571876	-0.0560787	-0.0599999	-0.0548898	-0.0602488	-0.0574994	-0.0599982	-0.0573045	-0.0546219	-0.0551874	-0.0562418	-0.0555138	-0.0548685	-0.0552784
21	0.0042	-0.0601066	-0.059991	-0.06	-0.0599999	-0.0604233	-0.0599999	-0.0555109	-0.0587588	-0.0575875	-0.06	-0.0599748	-0.0549028	-0.0604271	-0.0599999	-0.059998	-0.06	-0.0529302	-0.0562129	-0.0567554	-0.06	-0.0545558	-0.0599981	-0.0584561	-0.0599989	-0.0568705	-0.0556348	-0.0599999	-0.0542961	-0.0602757	-0.0572178	-0.059998	-0.0569991	-0.0539947	-0.054637	-0.0558124	-0.0549983	-0.0542784	-0.0547361
24	0.0048	-0.0601155	-0.0599902	-0.06	-0.0599999	-0.0604591	-0.0599999	-0.0551098	-0.0586477	-0.057372	-0.06	-0.0599725	-0.0544339	-0.0604631	-0.0599999	-0.0599978	-0.06	-0.0522874	-0.0558727	-0.0564665	-0.06	-0.0540666	-0.0599979	-0.0583185	-0.0599988	-0.0565925	-0.0552449	-0.0599999	-0.0537694	-0.0602988	-0.056971	-0.0599978	-0.0567307	-0.0534377	-0.0541516	-0.0554338	-0.0545428	-0.0537568	-0.054257
27	0.0054	-0.0601232	-0.0599894	-0.06	-0.0599999	-0.0604898	-0.0599999	-0.0547579	-0.0585503	-0.0571829	-0.06	-0.0599704	-0.0540183	-0.0604941	-0.0599999	-0.0599977	-0.06	-0.0517201	-0.0555736	-0.0562134	-0.06	-0.0536366	-0.0599978	-0.0581979	-0.0599987	-0.0563491	-0.0549028	-0.0599999	-0.0533022	-0.0603187	-0.056755	-0.0599976	-0.0564952	-0.0529427	-0.0537238	-0.0551004	-0.0541406	-0.0532961	-0.0538339
30	0.006	-0.0601298	-0.0599888	-0.06	-0.0599999	-0.0605161	-0.0599999	-0.0544496	-0.0584648	-0.0570172	-0.06	-0.0599686	-0.0536502	-0.0605206	-0.0599999	-0.0599975	-0.06	-0.0512197	-0.055311	-0.055992	-0.06	-0.053259	-0.0599976	-0.0580924	-0.0599986	-0.0561363	-0.0546032	-0.0599999	-0.0528877	-0.0603356	-0.0565662	-0.0599975	-0.0562888	-0.0525028	-0.0533471	-0.0548069	-0.0537856	-0.0528894	-0.0534607
33	0.0066	-0.0601354	-0.0599882	-0.06	-0.0599999	-0.0605384	-0.0599999	-0.0541799	-0.0583901	-0.0568724	-0.06	-0.0599669	-0.0533241	-0.0605431	-0.0599999	-0.0599974	-0.06	-0.0507786	-0.0550809	-0.0557987	-0.06	-0.0529278	-0.0599975	-0.0580003	-0.0599985	-0.0559507	-0.0543413	-0.0599999	-0.05252	-0.06035	-0.0564017	-0.0599973	-0.0561083	-0.0521119	-0.0530158	-0.0545489	-0.0534725	-0.0525305	-0.0531315
36	0.0072	-0.0601401	-0.0599876	-0.06	-0.0599999	-0.0605573	-0.0599999	-0.0539446	-0.0583248	-0.056746	-0.06	-0.0599655	-0.0530353	-0.0605622	-0.0599999	-0.0599973	-0.06	-0.0503902	-0.0548794	-0.0556303	-0.06	-0.0526379	-0.0599974	-0.05792	-0.0599985	-0.0557892	-0.0541127	-0.0599999	-0.0521938	-0.0603621	-0.0562587	-0.0599972	-0.0559506	-0.0517642	-0.0527246	-0.0543224	-0.0531965	-0.052214	-0.0528415
39	0.0078	-0.060144	-0.0599872	-0.06	-0.0599999	-0.0605731	-0.0599999	-0.0537397	-0.0582679	-0.0566359	-0.06	-0.0599642	-0.0527795	-0.060578	-0.0599999	-0.0599972	-0.06	-0.0500484	-0.0547035	-0.055484	-0.06	-0.0523845	-0.0599973	-0.0578502	-0.0599984	-0.055649	-0.0539137	-0.0599999	-0.0519044	-0.0603721	-0.0561347	-0.0599971	-0.0558133	-0.0514551	-0.0524691	-0.0541238	-0.0529535	-0.0519352	-0.0525861
