TimeSlice	Time	adductorbrevis	bicepsfemorisposterior	flexordigitorumlongus	medialgastrocnemius	rectusfemoris	tensorfascialatae	tibialisanterior
0	0	0	0	0	0	0.000983455	0.00937269	0.00126452
1	0.00054	0	0	0.113982	0	0.0019468	0.0180742	0.00248982
2	0.00108	0	0	0.163387	0.102627	0.0650119	0.138705	0
3	0.00162	0	0	0.208803	0.203853	0.123337	0.244916	0
4	0.00216	0	0	0.250455	0.296436	0.177214	0.338073	0
5	0.0027	0	0	0.288556	0.38086	0.226922	0.41943	0
6	0.00324	0	0	0.323312	0.45762	0.272731	0.49013	0
7	0.00378	0	0	0.354918	0.527181	0.314889	0.551216	0
8	0.00432	0	0	0.383577	0.590023	0.353629	0.603636	0
9	0.00486	0	0	0.409445	0.646573	0.389168	0.648262	0
10	0.0054	0	0	0.43273	0.697273	0.421704	0.685886	0
11	0.00594	0	0	0.453563	0.742521	0.451441	0.717224	0
12	0.00648	0	0	0.472116	0.782702	0.47856	0.742934	0
13	0.00702	0	0	0.488533	0.818183	0.503222	0.763612	0
14	0.00756	0	0	0.502956	0.849294	0.525591	0.779802	0
15	0.0081	0	0	0.515522	0.876371	0.545814	0.791992	0
16	0.00864	0	0	0.526358	0.899709	0.564034	0.800634	0
17	0.00918	0	0	0.535581	0.919593	0.580386	0.806133	0
18	0.00972	0	0	0.543302	0.936289	0.594991	0.808855	0
19	0.01026	0	0	0.549626	0.95004	0.607958	0.809136	0
20	0.0108	0	0	0.55466	0.96107	0.619412	0.807272	0
21	0.01134	0	0	0.558502	0.969615	0.629437	0.803542	0
22	0.01188	0	0	0.561226	0.97586	0.638139	0.798189	0
23	0.01242	0	0	0.562923	0.979993	0.645608	0.791433	0
24	0.01296	0	0	0.563679	0.982196	0.651928	0.783477	0
25	0.0135	0	0	0.563567	0.982627	0.657181	0.774503	0
26	0.01404	0	0	0.562637	0.981435	0.661436	0.764669	0
27	0.01458	0	0	0.560969	0.978768	0.664769	0.754119	0
28	0.01512	0	0	0.558638	0.974753	0.667243	0.742988	0
29	0.01566	0	0	0.555683	0.969512	0.668912	0.731387	0
30	0.0162	0	0	0.552162	0.963162	0.669847	0.719422	0
31	0.01674	0	0	0.548118	0.955799	0.6701	0.707184	0
32	0.01728	0	0	0.543607	0.94753	0.669714	0.694758	0
33	0.01782	0	0	0.538677	0.938434	0.668746	0.682214	0
34	0.01836	0	0	0.533367	0.928615	0.667235	0.669617	0
35	0.0189	0	0	0.527708	0.918131	0.665221	0.657021	0
36	0.01944	0	0	0.521745	0.907063	0.662755	0.644477	0
37	0.01998	0	0	0.515498	0.895481	0.659862	0.632027	0
38	0.02052	0	0	0.509012	0.883442	0.656583	0.619711	0
39	0.02106	0	0	0.502306	0.871009	0.652948	0.607559	0
40	0.0216	0	0	0.495428	0.858224	0.648994	0.595599	0
41	0.02214	0	0	0.488368	0.845145	0.644739	0.583853	0
42	0.02268	0	0	0.481187	0.831816	0.640214	0.572346	0
43	0.02322	0	0	0.473875	0.818288	0.635448	0.561087	0
44	0.02376	0	0	0.466463	0.804589	0.630457	0.550094	0
45	0.0243	0	0	0.458981	0.790756	0.625267	0.539376	0
