TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0	0	0	0.0019675	0.00098345	0	0	0.00126452	9.50174e-006	7.62479e-005	0
1	0.00054	2.03689e-006	1.0302e-005	0	0.00383818	0.00194683	0	2.38229e-005	0.00249077	2.02788e-005	0.000150735	0.0781502
2	0.00108	0	0	0	0.0187685	0.0357579	0	0	0.00605834	0.0129749	0.0150645	0.161641
3	0.00162	0	0	0	0.0453883	0.0998489	0	0	0	0.0377725	0.043485	0.17199
4	0.00216	0	0	0	0.0693757	0.15904	0	0	0	0.0605062	0.0693969	0.180872
5	0.0027	0	0	0	0.090937	0.213645	0	0	0	0.081324	0.0929963	0.188423
6	0.00324	0	0	0	0.11026	0.263962	0	0	0	0.100363	0.114456	0.194761
7	0.00378	0	0	0	0.127517	0.310262	0	0	0	0.11775	0.133938	0.200002
8	0.00432	0	0	0	0.142874	0.352808	0	0	0	0.133611	0.1516	0.204246
9	0.00486	0	0	0	0.156484	0.391842	0	0	0	0.148053	0.167575	0.207589
10	0.0054	0	0	0	0.168485	0.427589	0	0	0	0.161176	0.181988	0.210118
11	0.00594	0	0	0	0.179008	0.460265	0	0	0	0.173074	0.194963	0.211913
12	0.00648	0	0	0	0.188177	0.49007	0	0	0	0.183841	0.206607	0.213046
13	0.00702	0	0	0	0.196106	0.517194	0	0	0	0.193556	0.217025	0.21358
14	0.00756	0	0	0	0.202899	0.541805	0	0	0	0.202285	0.226302	0.213582
15	0.0081	0	0	0	0.208651	0.564071	0	0	0	0.210107	0.234524	0.213109
16	0.00864	0	0	0	0.213456	0.584152	0	0	0	0.217091	0.24178	0.212206
17	0.00918	0	0	0	0.217394	0.602189	0	0	0	0.223294	0.248139	0.210927
18	0.00972	0	0	0	0.220545	0.61832	0	0	0	0.228771	0.253669	0.209313
19	0.01026	0	0	0	0.222982	0.632675	0	0	0	0.233577	0.258437	0.207392
20	0.0108	0	0	0	0.224767	0.645362	0	0	0	0.237757	0.262492	0.205215
21	0.01134	0	0	0	0.225963	0.656502	0	0	0	0.24136	0.265896	0.202812
22	0.01188	0	0	0	0.226628	0.666203	0	0	0	0.244429	0.268706	0.20021
23	0.01242	0	0	0	0.226812	0.67456	0	0	0	0.247005	0.270958	0.197434
24	0.01296	0	0	0	0.226566	0.681664	0	0	0	0.249121	0.272697	0.194512
25	0.0135	0	0	0	0.225934	0.687602	0	0	0	0.25081	0.273968	0.191471
26	0.01404	0	0	0	0.224955	0.692462	0	0	0	0.252109	0.274812	0.188324
27	0.01458	0	0	0	0.223669	0.696317	0	0	0	0.253042	0.275258	0.185089
28	0.01512	0	0	0	0.22211	0.699231	0	0	0	0.25364	0.275334	0.181788
29	0.01566	0	0	0	0.22031	0.701281	0	0	0	0.25393	0.275073	0.178437
30	0.0162	0	0	0	0.218298	0.70253	0	0	0	0.253937	0.274508	0.17505
31	0.01674	0	0	0	0.2161	0.703032	0	0	0	0.253684	0.273665	0.171635
32	0.01728	0	0	0	0.213744	0.702848	0	0	0	0.253188	0.272568	0.168205
33	0.01782	0	0	0	0.21125	0.702028	0	0	0	0.252468	0.271235	0.164768
34	0.01836	0	0	0	0.208636	0.700617	0	0	0	0.251546	0.269685	0.161332
35	0.0189	0	0	0	0.205926	0.698659	0	0	0	0.250436	0.267945	0.157911
36	0.01944	0	0	0	0.203137	0.696203	0	0	0	0.249151	0.266026	0.154512
37	0.01998	0	0	0	0.200284	0.693289	0	0	0	0.247714	0.263946	0.151138
38	0.02052	0	0	0	0.197379	0.689954	0	0	0	0.246141	0.261726	0.147798
39	0.02106	0	0	0	0.194435	0.686233	0	0	0	0.244436	0.259382	0.144496
40	0.0216	0	0	0	0.191465	0.682158	0	0	0	0.242611	0.256921	0.141231
41	0.02214	0	0	0	0.188481	0.677757	0	0	0	0.240682	0.25435	0.138014
42	0.02268	0	0	0	0.185491	0.673068	0	0	0	0.238659	0.251691	0.134846
43	0.02322	0	0	0	0.182505	0.668112	0	0	0	0.23655	0.248955	0.131727
44	0.02376	0	0	0	0.179528	0.662912	0	0	0	0.234367	0.246145	0.128664
45	0.0243	0	0	0	0.176569	0.657498	0	0	0	0.232119	0.243281	0.125661
46	0.02484	0	0	0	0.173635	0.651889	0	0	0	0.229805	0.240366	0.122718
47	0.02538	0	0	0	0.170729	0.646108	0	0	0	0.227438	0.237405	0.119833
48	0.02592	0	0	0	0.167858	0.64017	0	0	0	0.225029	0.234406	0.117003
49	0.02646	0	0	0	0.165025	0.634094	0	0	0	0.222582	0.231376	0.114236
50	0.027	0	0	0	0.162233	0.627902	0	0	0	0.220098	0.228322	0.111535
51	0.02754	0	0	0	0.159487	0.621604	0	0	0	0.217584	0.22525	0.108897
52	0.02808	0	0	0	0.156791	0.61522	0	0	0	0.215053	0.222167	0.106324
53	0.02862	0	0	0	0.154144	0.608761	0	0	0	0.212501	0.219079	0.103815
54	0.02916	0	0	0	0.15155	0.60224	0	0	0	0.209938	0.215991	0.101365
55	0.0297	0	0	0	0.149011	0.595669	0	0	0	0.207368	0.212903	0.0989782
56	0.03024	0	0	0	0.146526	0.589059	0	0	0	0.204786	0.209817	0.0966526
57	0.03078	0	0	0	0.144098	0.582417	0	0	0	0.202204	0.206742	0.0943906
58	0.03132	0	0	0	0.141728	0.575755	0	0	0	0.199625	0.203681	0.0921913
59	0.03186	0	0	0	0.139416	0.569082	0	0	0	0.197047	0.200633	0.09005
60	0.0324	0	0	0	0.137163	0.562406	0	0	0	0.194473	0.197602	0.0879696
61	0.03294	0	0	0	0.134965	0.555741	0	0	0	0.191913	0.194596	0.0859493
62	0.03348	0	0	0	0.132828	0.549089	0	0	0	0.189366	0.191614	0.0839883
63	0.03402	0	0	0	0.13075	0.542453	0	0	0	0.18683	0.188657	0.0820822
64	0.03456	0	0	0	0.128729	0.535839	0	0	0	0.18431	0.185724	0.0802357
65	0.0351	0	0	0	0.126767	0.529257	0	0	0	0.181808	0.182821	0.0784428
66	0.03564	0	0	0	0.124861	0.522711	0	0	0	0.179323	0.179948	0.0767029
67	0.03618	0	0	0	0.123012	0.516208	0	0	0	0.176861	0.177108	0.0750172
68	0.03672	0	0	0	0.121217	0.50975	0	0	0	0.174421	0.174304	0.0733799
69	0.03726	0	0	0	0.119478	0.503337	0	0	0	0.172003	0.171527	0.0717961
70	0.0378	0	0	0	0.117793	0.496977	0	0	0	0.169613	0.168788	0.0702634
71	0.03834	0	0	0	0.116159	0.49067	0	0	0	0.167244	0.166086	0.0687796
72	0.03888	0	0	0	0.114578	0.484422	0	0	0	0.164901	0.163418	0.0673409
73	0.03942	0	0	0	0.113048	0.47824	0	0	0	0.162585	0.160793	0.0659471
74	0.03996	0	0	0	0.111569	0.47212	0	0	0	0.160298	0.158204	0.0646016
75	0.0405	0	0	0	0.110138	0.466065	0	0	0	0.158042	0.155651	0.0632988
76	0.04104	0	0	0	0.108755	0.460073	0	0	0	0.15581	0.153133	0.0620387
77	0.04158	0	0	0	0.107419	0.454154	0	0	0	0.153606	0.150655	0.0608212
78	0.04212	0	0	0	0.10613	0.448309	0	0	0	0.151435	0.148221	0.0596463
79	0.04266	0	0	0	0.104885	0.442533	0	0	0	0.149295	0.145829	0.0585085
80	0.0432	0	0	0	0.103681	0.436827	0	0	0	0.147184	0.14347	0.0574081
81	0.04374	0	0	0	0.102518	0.431197	0	0	0	0.145104	0.141149	0.0563453
82	0.04428	0	0	0	0.101399	0.425642	0	0	0	0.143055	0.138871	0.0553148
83	0.04482	0	0	0	0.10032	0.420159	0	0	0	0.141036	0.136627	0.0543261
84	0.04536	0	0	0	0.0992794	0.41476	0	0	0	0.139047	0.134428	0.053372
85	0.0459	0	0	0	0.0982756	0.409435	0	0	0	0.137089	0.132269	0.052451
86	0.04644	0	0	0	0.0973093	0.404187	0	0	0	0.135162	0.130146	0.0515599
87	0.04698	0	0	0	0.0963787	0.399017	0	0	0	0.133266	0.128062	0.0507011
88	0.04752	0	0	0	0.0954792	0.393924	0	0	0	0.131399	0.126016	0.049873
89	0.04806	0	0	0	0.0946143	0.388906	0	0	0	0.129564	0.124007	0.0490673
90	0.0486	0	0	0	0.093783	0.38396	0	0	0	0.127759	0.122034	0.0482956
91	0.04914	0	0	0	0.0929818	0.379097	0	0	0	0.125984	0.1201	0.0475527
92	0.04968	0	0	0	0.0922116	0.374311	0	0	0	0.124242	0.118202	0.0468358
93	0.05022	0	0	0	0.0914701	0.369598	0	0	0	0.122526	0.116342	0.0461436
94	0.05076	0	0	0	0.0907575	0.364964	0	0	0	0.120838	0.114517	0.0454734
95	0.0513	0	0	0	0.0900707	0.360407	0	0	0	0.119184	0.112728	0.0448314
96	0.05184	0	0	0	0.0894118	0.355921	0	0	0	0.11756	0.110975	0.0442146
97	0.05238	0	0	0	0.0887787	0.351512	0	0	0	0.115963	0.109255	0.0436183
98	0.05292	0	0	0	0.0881681	0.347177	0	0	0	0.114393	0.10757	0.0430398
99	0.05346	0	0	0	0.0875822	0.342912	0	0	0	0.11285	0.10592	0.0424838
100	0.054	0	0	0	0.0870195	0.338725	0	0	0	0.111339	0.104304	0.0419512
101	0.05454	0	0	0	0.0864792	0.334608	0	0	0	0.109857	0.102719	0.0414391
