TimeSlice	Time	adductorbrevis	tensorfascialatae
0	0	0.0176112	0.0585292
1	0.002	0.0317676	0.108945
2	0.004	0.0445626	0.156329
3	0.006	0.0578984	0.198218
4	0.008	0.0733147	0.232593
5	0.01	0.0918672	0.258104
6	0.012	0.11405	0.274189
7	0.014	0.139782	0.281131
8	0.016	0.168438	0.280004
9	0.018	0.198936	0.272567
10	0.02	0.229866	0.26107
11	0.022	0.259642	0.248025
12	0.024	0.286691	0.235968
13	0.026	0.309624	0.227195
14	0.028	0.327399	0.223538
15	0.03	0.339437	0.226183
16	0.032	0.345702	0.235552
17	0.034	0.346683	0.251273
18	0.036	0.34335	0.272233
19	0.038	0.33704	0.296721
20	0.04	0.329299	0.322629
21	0.042	0.321718	0.3477
22	0.044	0.315765	0.369779
23	0.046	0.312638	0.387058
24	0.048	0.313155	0.398248
25	0.05	0.317677	0.40272
26	0.052	0.326108	0.400533
27	0.054	0.337898	0.392426
28	0.056	0.352124	0.379703
29	0.058	0.367591	0.364103
30	0.06	0.382967	0.347601
31	0.062	0.396922	0.332204
32	0.064	0.408282	0.319742
33	0.066	0.416144	0.311677
34	0.068	0.419985	0.308964
35	0.07	0.419708	0.311944
36	0.072	0.415646	0.320325
37	0.074	0.40852	0.333226
38	0.076	0.399345	0.349277
39	0.078	0.38932	0.366797
40	0.08	0.379684	0.383968
41	0.082	0.371587	0.399056
42	0.084	0.365971	0.410588
43	0.086	0.363476	0.417508
44	0.088	0.364387	0.419275
45	0.09	0.368611	0.415907
46	0.092	0.375702	0.407964
47	0.094	0.384913	0.396464
48	0.096	0.395281	0.382775
49	0.098	0.405732	0.368456
50	0.1	0.4152	0.355097
51	0.102	0.42274	0.344146
52	0.104	0.42763	0.336757
53	0.106	0.429445	0.33368
54	0.108	0.428099	0.33518
55	0.11	0.423851	0.34102
56	0.112	0.417261	0.350494
57	0.114	0.409128	0.362518
58	0.116	0.400394	0.37575
59	0.118	0.392034	0.388754
60	0.12	0.384954	0.400152
61	0.122	0.379899	0.408775
62	0.124	0.377369	0.413782
63	0.126	0.377585	0.414745
64	0.128	0.380469	0.411677
65	0.13	0.385657	0.405019
66	0.132	0.392549	0.395583
67	0.134	0.400375	0.384453
68	0.136	0.408281	0.372869
69	0.138	0.415418	0.362087
70	0.14	0.421041	0.353251
71	0.142	0.424579	0.347271
72	0.144	0.425703	0.344728
73	0.146	0.424348	0.345821
74	0.148	0.420722	0.35035
75	0.15	0.415274	0.357751
76	0.152	0.408639	0.367156
77	0.154	0.401558	0.3775
78	0.156	0.394806	0.387648
79	0.158	0.389099	0.396507
80	0.16	0.385017	0.40316
81	0.162	0.382956	0.406945
82	0.164	0.383083	0.407531
83	0.166	0.385327	0.404936
84	0.168	0.389394	0.399519
85	0.17	0.394799	0.391929
86	0.172	0.400928	0.383034
87	0.174	0.4071	0.373816
88	0.176	0.412647	0.365272
89	0.178	0.416979	0.358303
90	0.18	0.419653	0.353621
91	0.182	0.420412	0.351675
92	0.184	0.419217	0.352612
93	0.186	0.416239	0.356262
94	0.188	0.411838	0.362162
95	0.19	0.40652	0.36962
96	0.192	0.400879	0.377791
97	0.194	0.39552	0.385771
98	0.196	0.391015	0.392705
99	0.198	0.387816	0.397866
100	0.2	0.386231	0.400742
101	0.202	0.386385	0.401079
102	0.204	0.388212	0.398904
103	0.206	0.391471	0.394509
104	0.208	0.395773	0.388422
105	0.21	0.400625	0.381336
106	0.212	0.405486	0.37403
107	0.214	0.409829	0.367296
108	0.216	0.413188	0.361842
109	0.218	0.41522	0.358225
110	0.22	0.415734	0.356788
111	0.222	0.414701	0.357634
112	0.224	0.412266	0.360615
113	0.226	0.408723	0.365358
114	0.228	0.404477	0.371303
115	0.23	0.399998	0.377778
116	0.232	0.395771	0.384066
117	0.234	0.392238	0.389494
118	0.236	0.38976	0.393492
119	0.238	0.388571	0.395662
120	0.24	0.38876	0.395818
121	0.242	0.390273	0.393988
122	0.244	0.392906	0.390419
123	0.246	0.396347	0.385533
124	0.248	0.400201	0.379886
125	0.25	0.404038	0.374101
126	0.252	0.407439	0.368806
127	0.254	0.410043	0.364555
128	0.256	0.411583	0.361782
129	0.258	0.411913	0.360746
130	0.26	0.411022	0.361518
131	0.262	0.40903	0.363972
132	0.264	0.406177	0.367799
133	0.266	0.402787	0.372549
134	0.268	0.399235	0.377685
135	0.27	0.395904	0.382641
136	0.272	0.393145	0.386884
137	0.274	0.391237	0.389972
138	0.276	0.390358	0.391597
139	0.278	0.390575	0.39162
140	0.28	0.391835	0.390075
141	0.282	0.393972	0.387168
142	0.284	0.396729	0.38324
143	0.286	0.399794	0.37874
