TimeSlice	Time	neur1	neur2	neur3	neur4	neur5	neur6
0	0	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
1	0.0002	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
2	0.0004	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
3	0.0006	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
4	0.0008	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
5	0.001	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
6	0.0012	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
7	0.0014	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
8	0.0016	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
9	0.0018	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
10	0.002	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
11	0.0022	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
12	0.0024	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
13	0.0026	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
14	0.0028	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
15	0.003	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
16	0.0032	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
17	0.0034	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
18	0.0036	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
19	0.0038	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
20	0.004	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
21	0.0042	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
22	0.0044	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
23	0.0046	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
24	0.0048	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
25	0.005	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
26	0.0052	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
27	0.0054	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
28	0.0056	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
29	0.0058	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
30	0.006	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
31	0.0062	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
32	0.0064	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
33	0.0066	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
34	0.0068	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
35	0.007	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
36	0.0072	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
37	0.0074	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
38	0.0076	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
39	0.0078	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
40	0.008	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
41	0.0082	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
42	0.0084	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
43	0.0086	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
44	0.0088	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
45	0.009	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
46	0.0092	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
47	0.0094	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
48	0.0096	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
49	0.0098	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
50	0.01	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
51	0.0102	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
52	0.0104	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
53	0.0106	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
54	0.0108	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
55	0.011	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
56	0.0112	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
57	0.0114	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
58	0.0116	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
59	0.0118	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
60	0.012	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
61	0.0122	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
62	0.0124	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
63	0.0126	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
64	0.0128	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
65	0.013	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
66	0.0132	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
67	0.0134	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
68	0.0136	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
69	0.0138	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
70	0.014	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
71	0.0142	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
72	0.0144	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
73	0.0146	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
74	0.0148	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
75	0.015	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
76	0.0152	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
77	0.0154	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
78	0.0156	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
79	0.0158	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
80	0.016	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
81	0.0162	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
82	0.0164	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
83	0.0166	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
84	0.0168	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
85	0.017	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
86	0.0172	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
87	0.0174	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
88	0.0176	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
89	0.0178	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
90	0.018	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
91	0.0182	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
92	0.0184	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
93	0.0186	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
94	0.0188	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
95	0.019	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
96	0.0192	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
97	0.0194	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
98	0.0196	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
99	0.0198	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
100	0.02	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
101	0.0202	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
102	0.0204	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
103	0.0206	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
104	0.0208	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
105	0.021	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
106	0.0212	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
107	0.0214	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
108	0.0216	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
109	0.0218	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
110	0.022	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
111	0.0222	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
112	0.0224	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
113	0.0226	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
114	0.0228	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
115	0.023	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
116	0.0232	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
117	0.0234	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
118	0.0236	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
119	0.0238	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
120	0.024	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
121	0.0242	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
122	0.0244	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
123	0.0246	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
124	0.0248	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
125	0.025	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
126	0.0252	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
127	0.0254	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
128	0.0256	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
129	0.0258	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
130	0.026	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
131	0.0262	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
132	0.0264	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
133	0.0266	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
134	0.0268	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
135	0.027	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
136	0.0272	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
137	0.0274	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
138	0.0276	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
139	0.0278	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
140	0.028	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
141	0.0282	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
142	0.0284	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
143	0.0286	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
144	0.0288	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
145	0.029	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
146	0.0292	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
147	0.0294	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
148	0.0296	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
149	0.0298	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
150	0.03	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
151	0.0302	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
152	0.0304	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
153	0.0306	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
154	0.0308	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
155	0.031	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
156	0.0312	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
157	0.0314	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
158	0.0316	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
159	0.0318	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
160	0.032	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
161	0.0322	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
162	0.0324	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
163	0.0326	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
164	0.0328	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
165	0.033	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
166	0.0332	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
167	0.0334	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
168	0.0336	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
169	0.0338	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
170	0.034	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
171	0.0342	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
172	0.0344	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
173	0.0346	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
174	0.0348	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
175	0.035	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
176	0.0352	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
177	0.0354	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
178	0.0356	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
179	0.0358	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
180	0.036	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
181	0.0362	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
182	0.0364	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
183	0.0366	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
184	0.0368	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
185	0.037	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
