TimeSlice	Time	neur39	neur40	neur41	neur42	neur43	neur44
0	0	-0.0598655	-0.0595648	-0.0599841	-0.0599862	-0.0599971	-0.0599925
1	0.0002	-0.0597365	-0.0591468	-0.0599687	-0.059973	-0.0599943	-0.0599854
2	0.0004	-0.0596125	-0.0587454	-0.059954	-0.0599604	-0.0599918	-0.0599786
3	0.0006	-0.0594936	-0.05836	-0.0599397	-0.0599483	-0.0599894	-0.0599721
4	0.0008	-0.0593794	-0.0579898	-0.059926	-0.0599367	-0.0599871	-0.0599659
5	0.001	-0.0592699	-0.0576344	-0.0599128	-0.0599256	-0.059985	-0.05996
6	0.0012	-0.0591647	-0.0572931	-0.0599001	-0.059915	-0.0599831	-0.0599543
7	0.0014	-0.0590637	-0.0569654	-0.0598878	-0.0599049	-0.0599813	-0.0599489
8	0.0016	-0.0589669	-0.0566507	-0.0598759	-0.0598951	-0.0599796	-0.0599438
9	0.0018	-0.0588739	-0.0563485	-0.0598645	-0.0598858	-0.059978	-0.0599389
10	0.002	-0.0587847	-0.0560584	-0.0598535	-0.0598769	-0.0599766	-0.0599343
11	0.0022	-0.0586991	-0.0557799	-0.0598429	-0.0598684	-0.0599753	-0.0599298
12	0.0024	-0.058617	-0.0555125	-0.0598327	-0.0598602	-0.059974	-0.0599256
13	0.0026	-0.0585382	-0.0552558	-0.0598228	-0.0598524	-0.0599729	-0.0599216
14	0.0028	-0.0584627	-0.0550093	-0.0598132	-0.059845	-0.0599719	-0.0599178
15	0.003	-0.0583902	-0.0547727	-0.0598041	-0.0598379	-0.059971	-0.0599142
16	0.0032	-0.0583206	-0.0545456	-0.0597952	-0.059831	-0.0599701	-0.0599107
17	0.0034	-0.0582539	-0.0543276	-0.0597866	-0.0598245	-0.0599694	-0.0599075
18	0.0036	-0.05819	-0.0541183	-0.0597783	-0.0598183	-0.0599687	-0.0599044
19	0.0038	-0.0581286	-0.0539175	-0.0597703	-0.0598123	-0.0599681	-0.0599014
20	0.004	-0.0580698	-0.0537247	-0.0597626	-0.0598066	-0.0599676	-0.0598986
21	0.0042	-0.0580134	-0.0535397	-0.0597552	-0.0598012	-0.0599671	-0.059896
22	0.0044	-0.0579594	-0.0533621	-0.059748	-0.059796	-0.0599667	-0.0598935
23	0.0046	-0.0579076	-0.0531917	-0.059741	-0.059791	-0.0599664	-0.0598912
24	0.0048	-0.0578579	-0.0530282	-0.0597343	-0.0597863	-0.0599661	-0.059889
25	0.005	-0.0578103	-0.0528713	-0.0597278	-0.0597818	-0.0599659	-0.0598869
26	0.0052	-0.0577647	-0.0527207	-0.0597215	-0.0597775	-0.0599657	-0.0598849
27	0.0054	-0.057721	-0.0525763	-0.0597154	-0.0597733	-0.0599656	-0.059883
28	0.0056	-0.0576792	-0.0524377	-0.0597095	-0.0597694	-0.0599655	-0.0598813
29	0.0058	-0.0576391	-0.0523048	-0.0597038	-0.0597657	-0.0599655	-0.0598797
30	0.006	-0.0576007	-0.0521772	-0.0596983	-0.0597621	-0.0599655	-0.0598781
31	0.0062	-0.0575639	-0.0520549	-0.059693	-0.0597587	-0.0599656	-0.0598767
32	0.0064	-0.0575287	-0.0519376	-0.0596878	-0.0597554	-0.0599656	-0.0598754
33	0.0066	-0.0574951	-0.0518251	-0.0596828	-0.0597523	-0.0599657	-0.0598741
34	0.0068	-0.0574628	-0.0517172	-0.059678	-0.0597493	-0.0599659	-0.059873
35	0.007	-0.057432	-0.0516137	-0.0596733	-0.0597465	-0.0599661	-0.0598719
36	0.0072	-0.0574025	-0.0515146	-0.0596687	-0.0597438	-0.0599663	-0.0598709
37	0.0074	-0.0573742	-0.0514195	-0.0596643	-0.0597412	-0.0599665	-0.05987
38	0.0076	-0.0573473	-0.0513283	-0.05966	-0.0597388	-0.0599667	-0.0598692
39	0.0078	-0.0573215	-0.0512409	-0.0596559	-0.0597365	-0.059967	-0.0598684
40	0.008	-0.0572968	-0.0511572	-0.0596519	-0.0597342	-0.0599673	-0.0598677
41	0.0082	-0.0572732	-0.0510769	-0.0596479	-0.0597321	-0.0599676	-0.0598671
42	0.0084	-0.0572507	-0.051	-0.0596442	-0.0597301	-0.0599679	-0.0598665
43	0.0086	-0.0572292	-0.0509263	-0.0596405	-0.0597282	-0.0599682	-0.059866
44	0.0088	-0.0572087	-0.0508558	-0.0596369	-0.0597264	-0.0599685	-0.0598655
45	0.009	-0.0571892	-0.0507881	-0.0596334	-0.0597247	-0.0599689	-0.0598651
46	0.0092	-0.0571705	-0.0507234	-0.05963	-0.059723	-0.0599693	-0.0598648
47	0.0094	-0.0571527	-0.0506614	-0.0596267	-0.0597214	-0.0599696	-0.0598645
48	0.0096	-0.0571357	-0.0506021	-0.0596235	-0.0597199	-0.05997	-0.0598643
49	0.0098	-0.0571195	-0.0505452	-0.0596204	-0.0597185	-0.0599704	-0.0598641
50	0.01	-0.0571041	-0.0504909	-0.0596174	-0.0597172	-0.0599708	-0.0598639
51	0.0102	-0.0570894	-0.0504388	-0.0596144	-0.0597159	-0.0599712	-0.0598638
52	0.0104	-0.0570755	-0.0503891	-0.0596115	-0.0597146	-0.0599716	-0.0598638
53	0.0106	-0.0570622	-0.0503414	-0.0596087	-0.0597135	-0.059972	-0.0598638
54	0.0108	-0.0570496	-0.0502959	-0.059606	-0.0597124	-0.0599724	-0.0598638
55	0.011	-0.0570376	-0.0502524	-0.0596033	-0.0597113	-0.0599728	-0.0598638
56	0.0112	-0.0570263	-0.0502107	-0.0596007	-0.0597103	-0.0599732	-0.0598639
57	0.0114	-0.0570155	-0.050171	-0.0595982	-0.0597093	-0.0599736	-0.059864
58	0.0116	-0.0570053	-0.050133	-0.0595957	-0.0597084	-0.059974	-0.0598642
59	0.0118	-0.0569956	-0.0500967	-0.0595933	-0.0597076	-0.0599743	-0.0598644
60	0.012	-0.0569864	-0.050062	-0.0595909	-0.0597067	-0.0599747	-0.0598646
61	0.0122	-0.0569778	-0.0500289	-0.0595886	-0.059706	-0.0599751	-0.0598648
62	0.0124	-0.0569696	-0.0499973	-0.0595863	-0.0597052	-0.0599755	-0.0598651
63	0.0126	-0.0569619	-0.0499672	-0.0595841	-0.0597045	-0.0599758	-0.0598654
64	0.0128	-0.0569546	-0.0499385	-0.0595819	-0.0597038	-0.0599762	-0.0598657
65	0.013	-0.0569478	-0.0499111	-0.0595798	-0.0597031	-0.0599766	-0.0598661
66	0.0132	-0.0569414	-0.049885	-0.0595777	-0.0597025	-0.0599769	-0.0598664
67	0.0134	-0.0569353	-0.0498602	-0.0595757	-0.0597019	-0.0599772	-0.0598668
68	0.0136	-0.0569297	-0.0498365	-0.0595737	-0.0597013	-0.0599776	-0.0598673
69	0.0138	-0.0569244	-0.049814	-0.0595718	-0.0597008	-0.0599779	-0.0598677
70	0.014	-0.0569195	-0.0497926	-0.0595698	-0.0597003	-0.0599782	-0.0598681
71	0.0142	-0.0569149	-0.0497722	-0.059568	-0.0596998	-0.0599785	-0.0598686
72	0.0144	-0.0569106	-0.0497528	-0.0595661	-0.0596993	-0.0599787	-0.0598691
73	0.0146	-0.0569067	-0.0497345	-0.0595643	-0.0596988	-0.059979	-0.0598696
74	0.0148	-0.056903	-0.049717	-0.0595625	-0.0596983	-0.0599793	-0.0598701
75	0.015	-0.0568997	-0.0497005	-0.0595608	-0.0596979	-0.0599795	-0.0598707
76	0.0152	-0.0568966	-0.0496848	-0.059559	-0.0596975	-0.0599797	-0.0598712
77	0.0154	-0.0568938	-0.04967	-0.0595573	-0.0596971	-0.0599799	-0.0598718
78	0.0156	-0.0568913	-0.049656	-0.0595557	-0.0596967	-0.0599801	-0.0598723
79	0.0158	-0.056889	-0.0496427	-0.059554	-0.0596963	-0.0599803	-0.0598729
