TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0	1.49247e-005	0	0	0.0019675	0.000983455	0	0	0.00126452	9.5064e-006	7.626e-005	0
1	0.00054	2.03689e-006	0.106534	1.0302e-005	0.000232431	0.00383818	0.00194684	0	2.38229e-005	0.00249079	2.0288e-005	0.000150758	0.000469197
2	0.00108	0.000529009	0.192839	0.000118259	0.000912855	0.00574079	0.00288874	0	0.000680599	0.00378558	0	7.20456e-005	0.00126228
3	0.00162	0.00207445	0.26282	0.00040645	0.00201394	0.00779911	0.0038096	0	0.00252474	0.00523521	0	0	0.00178867
4	0.00216	0.0045614	0.319617	0.000868684	0.00349425	0.0100109	0.00472067	0	0.00539872	0.00678843	0	0	0.00205777
5	0.0027	0.00788131	0.365763	0.00150496	0.0052964	0.0123748	0.00563117	0	0.00912163	0.00839366	0	0	0.002084
6	0.00324	0.0118975	0.37	0.0023168	0.00734638	0.0148851	0.00655376	0	0.0134901	0.00997194	0	0	0.00189194
7	0.00378	0.016438	0.37	0.00331555	0.00955632	0.0175357	0.00751887	0	0.0182845	0.0114141	0	0	0.00149975
8	0.00432	0.0213132	0.37	0.00452621	0.0118319	0.0203203	0.00854913	0	0.0232776	0.0126143	0	0	0.000932014
9	0.00486	0.0263248	0.37	0.00598351	0.0140758	0.0232297	0.00966676	0	0.0282462	0.0134604	0	0	0.000221265
10	0.0054	0.0312709	0.37	0.00773147	0.0161904	0.0262563	0.0109044	0	0.032974	0.0138239	0	0	0
11	0.00594	0.0359593	0.37	0.00982335	0.0180853	0.0293922	0.0122885	0	0.0372662	0.0135944	0	0	0
12	0.00648	0.0402086	0.37	0.012316	0.0196779	0.0326263	0.0138453	0	0.0409579	0.0126843	0	0	0
13	0.00702	0.0438637	0.37	0.0152682	0.0208992	0.035953	0.015602	0	0.0439208	0.0109979	0	0	0
14	0.00756	0.046798	0.37	0.0187355	0.0216961	0.039364	0.0175749	0	0.0460623	0.00847808	0	0	0
15	0.0081	0.048919	0.37	0.0227658	0.0220345	0.0428504	0.0197778	0	0.0473234	0.0051019	0	0	0
16	0.00864	0.0501698	0.37	0.0273985	0.0218973	0.0464058	0.0222226	0	0.0476937	0.000865006	0	0	0
17	0.00918	0.0505329	0.37	0.0326622	0.0212817	0.0500221	0.0249138	0	0.0472055	0	0	0	0
18	0.00972	0.0500238	0.37	0.0385731	0.0201986	0.0536926	0.0278486	0	0.0459208	0	0	0	0
19	0.01026	0.0486773	0.37	0.0451311	0.0186635	0.0574139	0.0310242	0	0.043915	0	0	0	0
20	0.0108	0.0465438	0.37	0.0523195	0.0166991	0.0611822	0.034438	0	0.0412704	0	0	0	0
21	0.01134	0.0436839	0.37	0.0601119	0.0143438	0.0649939	0.038071	0	0.0380823	0	0	0	0
22	0.01188	0.0401812	0.37	0.0684733	0.0116427	0.0688491	0.0419193	0	0.0344627	0	0	0	0
